snr,wifi_db,exp_phase_shift,exp_doppler_shift,found_phase_shift,found_doppler_shift
-50,-100,3068,772,914,1750
-50,-100,111,-938,2648,3900
-50,-100,6533,-717,2318,-4350
-50,-100,8006,326,8262,3850
-50,-100,9056,657,2633,-2100
-50,-100,2273,904,9558,-1150
-50,-100,7987,835,810,4950
-50,-100,1872,560,4826,-4650
-50,-100,707,-649,4632,950
-50,-100,6619,611,457,1650
-50,-100,6416,-178,9742,-4200
-50,-100,8950,-974,1193,3450
-50,-100,1833,-317,8044,-1200
-50,-100,4416,-149,2083,4800
-50,-100,8574,207,3082,1550
-50,-100,4398,-801,484,-2500
-50,-100,303,-580,7660,2100
-50,-100,1046,-321,3054,-1750
-50,-100,6214,15,8255,-2100
-50,-100,8739,-324,2792,1350
-50,-100,1263,828,4323,-850
-50,-100,7249,-898,8596,-700
-50,-100,8894,171,1764,-4550
-50,-100,1873,982,9156,1800
-50,-100,1153,261,3621,-500
-50,-100,1256,-882,8112,-2800
-50,-100,2669,169,8733,-150
-50,-100,8789,481,7049,3100
-50,-100,5040,-23,3933,150
-50,-100,3324,771,7640,-3550
-50,-100,3476,832,2348,2050
-50,-100,1426,-267,5723,-950
-50,-100,8721,-937,1582,-4250
-50,-100,5160,-958,8202,4600
-50,-100,7284,-415,5521,-2250
-50,-100,4882,505,9895,2000
-50,-100,4664,-321,2093,-4850
-50,-100,681,-106,286,-1250
-50,-100,7491,133,9317,-4200
-50,-100,8569,-765,9290,-1800
-50,-100,275,-414,4174,-4400
-50,-100,1475,-735,605,1450
-50,-100,5274,326,3424,2000
-50,-100,9271,-40,1628,-2750
-50,-100,4435,-893,7997,4850
-50,-100,7530,-382,3923,1150
-50,-100,4684,-642,7527,4500
-50,-100,9486,569,2323,-3550
-50,-100,3593,-643,9537,-3450
-50,-100,7760,324,6344,-1800
-50,-100,3793,-862,8133,-4550
-50,-100,8609,-616,8341,-1700
-50,-100,8233,-514,6199,150
-50,-100,7613,169,9932,1550
-50,-100,3117,450,7810,450
-50,-100,806,223,9649,-400
-50,-100,8303,-912,795,-50
-50,-100,9075,-824,1048,-1800
-50,-100,4346,-832,9908,200
-50,-100,5772,34,3281,-3650
-50,-100,9504,-822,4390,1150
-50,-100,1357,982,5947,2200
-50,-100,8163,987,1225,-1450
-50,-100,1590,-811,8487,-1350
-50,-100,6946,244,771,-1600
-50,-100,3778,719,5716,-2400
-50,-100,3388,960,9652,-1700
-50,-100,8797,14,8598,1200
-50,-100,2113,-351,6065,1750
-50,-100,1903,-339,313,2400
-50,-100,70,316,2717,-1050
-50,-100,495,3,4139,-1900
-50,-100,2343,-188,145,2250
-50,-100,3182,224,509,-1050
-50,-100,1243,-456,8530,-3400
-50,-100,4476,230,5729,-2250
-50,-100,2446,-158,4388,4550
-50,-100,8370,217,9392,350
-50,-100,3818,882,3153,-3850
-50,-100,3410,-931,7419,-4700
-50,-100,2518,-251,8016,1500
-50,-100,4649,443,4199,-2800
-50,-100,2628,-494,2423,-1500
-50,-100,1160,530,5211,-1700
-50,-100,105,915,1714,100
-50,-100,5440,-574,1230,4950
-50,-100,4315,-420,2477,1450
-50,-100,418,116,5009,4650
-50,-100,1175,84,7859,-4500
-50,-100,7614,-794,8075,1150
-50,-100,1185,217,7397,-4450
-50,-100,4656,474,3806,-2400
-50,-100,7771,-497,6714,-1550
-50,-100,1796,-263,3569,4050
-50,-100,2703,-537,7195,-800
-50,-100,2727,266,770,-1900
-50,-100,3487,87,2211,4800
-50,-100,4064,-988,2726,4950
-50,-100,7263,-411,7975,-1650
-50,-100,8934,-125,897,450
-50,-90,7629,-797,7822,1150
-50,-90,851,420,3110,-2950
-50,-90,4206,-94,5186,3500
-50,-90,591,274,4054,3500
-50,-90,3701,764,7204,-1050
-50,-90,6775,599,7853,-1800
-50,-90,4015,509,9835,1650
-50,-90,1395,236,9441,4800
-50,-90,5780,901,7718,-1650
-50,-90,2531,695,191,-100
-50,-90,8368,-13,9682,-4150
-50,-90,5469,-248,2522,-2750
-50,-90,5976,-161,6609,-350
-50,-90,2739,-425,2671,1600
-50,-90,2467,-910,3942,-1000
-50,-90,173,35,8444,-1450
-50,-90,2418,455,3578,-4650
-50,-90,7473,-33,549,3450
-50,-90,9227,-1,8676,-450
-50,-90,1759,104,4956,700
-50,-90,9664,-769,6886,250
-50,-90,2805,900,1146,-2350
-50,-90,372,459,5331,3900
-50,-90,4694,324,3962,1900
-50,-90,3569,673,1443,-3500
-50,-90,6784,671,7260,-4850
-50,-90,8342,63,5202,3550
-50,-90,2225,-745,284,400
-50,-90,6950,-310,1873,-1600
-50,-90,2009,-485,2824,-2650
-50,-90,4749,21,613,3300
-50,-90,8683,233,1917,-4600
-50,-90,2139,777,6142,-2550
-50,-90,684,694,4096,0
-50,-90,7834,-99,6316,-3950
-50,-90,3029,-678,4659,-4800
-50,-90,3248,971,5874,-250
-50,-90,4393,-741,5620,300
-50,-90,4083,-320,1483,700
-50,-90,9075,294,6650,-450
-50,-90,2114,526,1001,2350
-50,-90,1127,450,4742,-950
-50,-90,3359,249,5481,3250
-50,-90,2418,-312,5387,150
-50,-90,7104,942,9426,-1500
-50,-90,5218,-21,4141,-550
-50,-90,19,33,6067,2200
-50,-90,1640,-585,7881,3700
-50,-90,8333,-544,8765,2750
-50,-90,5176,587,7090,700
-50,-90,994,992,465,-1150
-50,-90,9690,517,7763,3100
-50,-90,599,-751,7581,-1100
-50,-90,4912,838,9186,3250
-50,-90,6932,-847,3162,4900
-50,-90,6996,595,4418,650
-50,-90,6232,419,3505,150
-50,-90,1334,-698,9051,4450
-50,-90,6401,249,4842,-1550
-50,-90,6813,-237,1992,-4100
-50,-90,9484,-601,5674,-4850
-50,-90,6072,646,9636,-3250
-50,-90,5545,898,7905,4600
-50,-90,7687,968,6727,2100
-50,-90,5416,820,5064,-2500
-50,-90,6215,848,2984,-2950
-50,-90,6445,-806,27,2600
-50,-90,1586,-596,9302,-1100
-50,-90,8265,454,553,1900
-50,-90,8297,-108,8911,-1800
-50,-90,3622,-578,5675,1300
-50,-90,1622,-947,4342,200
-50,-90,9261,-739,1771,4350
-50,-90,955,-930,365,-5000
