snr,wifi_db,exp_phase_shift,exp_doppler_shift,found_phase_shift,found_doppler_shift
-50,-100,7245,-635,8299,-300
-50,-100,9651,132,8736,600
-50,-100,6631,-348,7745,600
-50,-100,5726,-569,8726,-200
-50,-100,1926,1000,6019,400
-50,-100,23,388,6405,-700
-50,-100,3855,-485,8326,900
-50,-100,8544,680,5704,-200
-50,-100,1001,-1000,620,200
-50,-100,5408,-918,683,-1000
-50,-90,1526,-11,8477,900
-50,-90,205,445,8812,-600
-50,-90,5683,520,366,400
-50,-90,7489,540,9992,-1000
-50,-90,3377,581,188,-900
-50,-90,9674,-630,6590,-200
-50,-90,2529,-314,6474,200
-50,-90,9183,-454,348,-300
-50,-90,2984,520,2683,700
-50,-90,2441,723,2837,300
-50,-80,3276,924,7892,300
-50,-80,1901,-530,5112,900
-50,-80,6864,706,2906,-500
-50,-80,6722,-47,2868,400
-50,-80,9088,-426,1189,-800
-50,-80,5622,-229,3687,-900
-50,-80,5267,-680,6811,-400
-50,-80,9273,-7,1648,-700
-50,-80,2068,-435,4660,400
-50,-80,4644,484,9990,-100
-50,-70,7353,-336,8567,-600
-50,-70,2900,792,7987,-900
-50,-70,3246,765,231,300
-50,-70,1739,309,5220,500
-50,-70,3417,-866,9718,600
-50,-70,5596,-898,1298,200
-50,-70,8200,547,4569,-700
-50,-70,567,361,3949,-1000
-50,-70,4542,810,9760,-100
-50,-70,412,393,8835,900
-50,-60,6175,-729,1741,-700
-50,-60,5307,-979,6237,600
-50,-60,7457,599,6493,0
-50,-60,6302,713,1691,200
-50,-60,62,-555,4680,-200
-50,-60,1820,985,3917,0
-50,-60,1160,-300,3150,600
-50,-60,9752,-595,5814,100
-50,-60,1364,118,5092,0
-50,-60,2165,573,1968,400
-50,-50,9634,549,1537,-400
-50,-50,1597,423,6018,600
-50,-50,9712,-987,4957,700
-50,-50,6364,-565,9401,700
-50,-50,9691,942,7221,-600
-50,-50,9278,-195,7722,0
-50,-50,2055,944,6445,900
-50,-50,5917,-600,5189,-100
-50,-50,2774,-570,7062,-900
-50,-50,4200,498,1238,200
-50,-40,3708,-370,9217,900
-50,-40,3790,686,8350,-300
-50,-40,1502,-559,9940,-600
-50,-40,2877,-570,5893,700
-50,-40,7554,948,3219,-700
-50,-40,9108,616,9378,700
-50,-40,47,145,7739,-1000
-50,-40,5906,-40,9642,-300
-50,-40,1094,-31,407,-300
-50,-40,439,-787,4971,600
-50,-30,431,517,386,100
-50,-30,4118,-984,3573,-600
-50,-30,7076,-698,7221,-600
-50,-30,4551,-242,7212,800
-50,-30,3900,33,2137,700
-50,-30,6208,965,2304,-800
-50,-30,1553,-412,769,-1000
-50,-30,3810,221,8549,-100
-50,-30,3516,-511,9298,-200
-50,-30,4170,-753,5951,-100
-50,-20,6850,60,1944,-200
-50,-20,7124,-81,9338,-200
-50,-20,1944,-454,6438,100
-50,-20,9731,524,7963,900
-50,-20,8269,296,6765,0
-50,-20,3330,-757,9666,0
-50,-20,4151,978,7474,-400
-50,-20,2670,-845,2754,-1000
-50,-20,7139,39,1770,-400
-50,-20,8929,152,3183,400
-50,-10,2775,-859,3069,-800
-50,-10,7630,831,9700,-200
-50,-10,8985,-467,1780,-900
-50,-10,6365,-624,6258,400
-50,-10,4869,383,5409,-800
-50,-10,5699,-75,8182,500
-50,-10,5540,374,3729,700
