snr,wifi_db,exp_phase_shift,exp_doppler_shift,found_phase_shift,found_doppler_shift
-50,-100,2652,-54,7856.0,800
-50,-100,1445,389,4228.0,0
-50,-100,9751,9,8331.0,600
-50,-100,1706,-333,9451.0,-300
-50,-100,9076,716,5558.0,400
-50,-100,7122,43,2377.0,900
-50,-100,830,829,6173.0,900
-50,-100,1580,-878,6687.0,-800
-50,-100,4283,-382,2204.0,500
-50,-100,109,-686,471.0,200
-50,-90,3996,-843,2252.0,-300
-50,-90,3177,909,6343.0,800
-50,-90,7970,653,6528.0,-600
-50,-90,3083,-666,5441.0,800
-50,-90,7520,-957,6853.0,-400
-50,-90,5110,-466,7454.0,900
-50,-90,7663,-696,9090.0,-400
-50,-90,2432,603,7313.0,-100
-50,-90,5430,101,8917.0,800
-50,-90,3568,-267,6165.0,100
-50,-80,370,-481,7733.0,500
-50,-80,6428,-533,4872.0,-300
-50,-80,7294,603,8700.0,-500
-50,-80,7924,61,2264.0,-400
-50,-80,3678,274,8184.0,-200
-50,-80,1890,362,6767.0,600
-50,-80,4010,501,3394.0,900
-50,-80,2384,43,429.0,100
-50,-80,5007,75,8257.0,-900
-50,-80,3985,-679,7875.0,-500
-50,-70,4218,616,217.0,800
-50,-70,8506,675,6824.0,100
-50,-70,9373,-480,90.0,-300
-50,-70,6974,800,6495.0,-400
-50,-70,9108,331,2093.0,-1000
-50,-70,8734,567,7084.0,-900
-50,-70,7451,628,6061.0,-700
-50,-70,6851,61,8786.0,-600
-50,-70,3375,666,4020.0,-400
-50,-70,7454,-387,7521.0,-300
-50,-60,5020,-949,6977.0,900
-50,-60,4825,192,3731.0,500
-50,-60,1044,375,8362.0,500
-50,-60,9067,463,9631.0,-200
-50,-60,8482,-858,8297.0,600
-50,-60,9677,-872,3638.0,800
-50,-60,6873,-345,507.0,-1000
-50,-60,7131,396,7150.0,-1000
-50,-60,2460,487,7851.0,200
-50,-60,1213,-566,3283.0,-500
-50,-50,4584,-40,6010.0,-900
-50,-50,7347,710,73.0,100
-50,-50,437,-616,4763.0,600
-50,-50,2609,200,6758.0,-1000
-50,-50,6376,718,1853.0,900
-50,-50,2822,-349,2828.0,-400
-50,-50,1112,833,9914.0,200
-50,-50,8465,733,4426.0,-900
-50,-50,8676,675,1319.0,0
-50,-50,2103,416,9064.0,900
-50,-40,8128,-382,5604.0,-900
-50,-40,1036,872,3664.0,300
-50,-40,3263,-367,3232.0,400
-50,-40,2796,364,8872.0,700
-50,-40,4213,857,4959.0,-400
-50,-40,3232,-278,5851.0,-100
-50,-40,9185,279,5334.0,-100
-50,-40,4018,615,665.0,-600
-50,-40,7536,174,8972.0,-600
-50,-40,9933,981,3822.0,200
-50,-30,6826,437,6686.0,200
-50,-30,6477,-554,8326.0,200
-50,-30,3461,906,9771.0,-1000
-50,-30,3192,49,9124.0,600
-50,-30,8378,-64,8529.0,-900
-50,-30,4429,-892,9333.0,500
-50,-30,3776,-993,3889.0,900
-50,-30,4564,-908,9359.0,-1000
-50,-30,3321,607,9129.0,200
-50,-30,9074,199,5444.0,300
-50,-20,1517,933,8112.0,900
-50,-20,9715,-741,9669.0,400
-50,-20,8627,956,6706.0,-800
-50,-20,2517,-197,2672.0,-1000
-50,-20,9880,-352,2394.0,300
-50,-20,8132,426,9294.0,-200
-50,-20,8551,-285,4031.0,-200
-50,-20,7872,-709,9292.0,300
-50,-20,2785,91,9.0,-100
-50,-20,8208,-452,3946.0,700
-50,-10,1762,-56,9486.0,600
-50,-10,9757,-894,208.0,-100
-50,-10,221,398,5940.0,-700
-50,-10,1349,-930,5343.0,-800
-50,-10,778,-202,4257.0,-1000
-50,-10,6959,742,6428.0,-700
-50,-10,119,409,9351.0,-600
-50,-10,5435,-602,5098.0,800
-50,-10,5187,-7,6036.0,-300
-50,-10,6357,-846,1725.0,500
-50,0,3053,510,7539.0,100
-50,0,1830,-288,1382.0,-200
-50,0,1622,-194,4625.0,-800
-50,0,4110,323,274.0,-500
-50,0,2438,-721,3203.0,700
-50,0,3722,778,5574.0,500
-50,0,5877,-669,2884.0,200
-50,0,8312,617,8784.0,-300
-50,0,3894,600,9249.0,-400
-50,0,1999,854,8515.0,-200
-50,10,6407,-374,4120.0,400
-50,10,486,-85,2457.0,-800
-50,10,9656,785,3586.0,-500
-50,10,2355,936,7608.0,-1000
-50,10,5559,-664,2159.0,900
-50,10,9414,-151,7828.0,800
-50,10,5625,668,9257.0,900
-50,10,1284,93,719.0,900
-50,10,1000,214,7220.0,800
-50,10,7291,-484,6866.0,-800
-50,20,7206,-702,6954.0,-600
-50,20,6059,380,2161.0,-500
-50,20,7601,-818,7742.0,500
-50,20,8629,-939,7934.0,500
-50,20,3297,-224,7590.0,-200
-50,20,6090,212,4590.0,300
-50,20,8345,955,568.0,100
-50,20,3420,-690,1590.0,-800
-50,20,9711,-542,4743.0,-1000
-50,20,3204,-251,8980.0,200
-50,30,2147,420,7677.0,800
-50,30,984,724,5655.0,-100
-50,30,7488,-627,4273.0,-500
-50,30,3088,127,219.0,-100
-50,30,3012,601,2322.0,900
-50,30,1133,-314,606.0,300
-50,30,3864,-583,342.0,200
-50,30,982,951,5468.0,700
-50,30,6458,668,6998.0,-800
-50,30,8076,692,2742.0,700
-50,40,1141,-430,7002.0,-1000
-50,40,2038,-489,9226.0,-400
-50,40,5876,-401,6765.0,-1000
-50,40,1206,735,9054.0,800
-50,40,1702,-921,2110.0,-100
-50,40,4093,-707,1271.0,200
-50,40,6628,-820,5982.0,-900
-50,40,5423,618,9649.0,-700
-50,40,6979,-754,977.0,-400
-50,40,7194,-677,8944.0,-400
-50,50,1527,928,246.0,700
-50,50,8935,-636,9616.0,800
-50,50,1213,152,8756.0,-400
-50,50,60,884,3716.0,300
-50,50,6768,-390,8631.0,400
-50,50,3111,932,9336.0,-1000
-50,50,8059,-325,9658.0,400
-50,50,6270,-515,7557.0,500
-50,50,3805,-200,8580.0,100
-50,50,6147,542,6683.0,500
-40,-100,9467,158,3067.0,800
-40,-100,3881,-555,7133.0,-700
-40,-100,5658,-668,1315.0,-1000
-40,-100,544,-209,8344.0,800
-40,-100,7594,430,6490.0,200
-40,-100,2523,-928,6332.0,700
-40,-100,600,-925,8647.0,-600
-40,-100,2823,-115,5334.0,300
-40,-100,2395,-52,725.0,-1000
-40,-100,167,474,2177.0,900
-40,-90,4341,-147,3103.0,-300
-40,-90,9988,-552,277.0,-200
-40,-90,4796,333,1604.0,-400
-40,-90,9274,744,6350.0,-1000
-40,-90,9209,885,2327.0,-600
-40,-90,4025,-138,8029.0,-300
-40,-90,7257,252,3066.0,500
-40,-90,5614,997,5896.0,900
-40,-90,1465,54,9924.0,900
-40,-90,1883,-179,8391.0,-700
-40,-80,3197,801,9090.0,800
-40,-80,9410,-626,948.0,-100
-40,-80,8353,-883,7698.0,800
-40,-80,3675,978,5976.0,700
-40,-80,9499,-55,1966.0,500
-40,-80,3032,-679,9755.0,-400
-40,-80,5299,-476,2194.0,800
-40,-80,5396,-268,4499.0,-600
-40,-80,2577,-466,4439.0,-700
-40,-80,1481,59,495.0,400
-40,-70,4302,141,7603.0,-800
-40,-70,7274,970,1542.0,-1000
-40,-70,4569,138,8051.0,600
-40,-70,1486,-253,6035.0,-400
-40,-70,9463,149,8978.0,-1000
-40,-70,1702,-326,8726.0,-900
-40,-70,9375,251,5988.0,400
-40,-70,6044,-104,5846.0,-1000
-40,-70,6868,887,1422.0,900
-40,-70,550,453,1428.0,300
-40,-60,9817,-208,9981.0,-300
-40,-60,2662,543,4179.0,100
-40,-60,9980,-419,665.0,-400
-40,-60,1607,958,605.0,300
-40,-60,7966,-277,605.0,-700
-40,-60,5397,999,7088.0,900
-40,-60,741,92,6558.0,800
-40,-60,5957,368,9302.0,400
-40,-60,3535,571,4314.0,-200
-40,-60,5783,752,2591.0,900
-40,-50,514,-642,3626.0,100
-40,-50,8285,819,6682.0,900
-40,-50,7591,-928,6892.0,-1000
-40,-50,2529,-116,6169.0,-400
-40,-50,8795,93,1790.0,-500
-40,-50,2400,-756,9227.0,-700
-40,-50,7435,715,6891.0,800
-40,-50,6290,-658,1357.0,900
-40,-50,4790,-408,7320.0,0
-40,-50,6056,-683,531.0,800
-40,-40,306,95,5779.0,900
-40,-40,6386,62,9136.0,100
-40,-40,902,-542,6811.0,-300
-40,-40,5702,600,7122.0,900
-40,-40,4427,756,9207.0,200
-40,-40,9978,-152,2798.0,-500
-40,-40,299,-548,2868.0,-100
-40,-40,5301,995,6417.0,-900
-40,-40,7636,-233,679.0,-1000
-40,-40,8018,-694,7235.0,300
-40,-30,8577,-401,144.0,400
-40,-30,5063,-136,4208.0,900
-40,-30,2038,-178,285.0,600
-40,-30,9177,427,5601.0,-500
-40,-30,4993,-712,6217.0,-400
-40,-30,4792,699,6481.0,-500
-40,-30,9380,85,2909.0,900
-40,-30,8180,-909,7828.0,600
-40,-30,9310,534,6264.0,300
-40,-30,8587,-30,999.0,-1000
-40,-20,1273,693,7139.0,-600
-40,-20,3174,-527,1156.0,900
-40,-20,1231,-564,9670.0,-1000
-40,-20,1784,-957,1559.0,-1000
-40,-20,3853,473,529.0,-200
-40,-20,9225,-168,5266.0,-200
-40,-20,9145,296,8515.0,100
-40,-20,6952,529,9971.0,-600
-40,-20,7812,210,4544.0,100
-40,-20,7454,797,3280.0,-300
-40,-10,8225,899,3392.0,900
-40,-10,1945,501,7001.0,-200
-40,-10,2923,280,532.0,-1000
-40,-10,8857,455,9043.0,900
-40,-10,8014,-510,310.0,-900
-40,-10,9031,-697,3729.0,-100
-40,-10,5509,698,473.0,300
-40,-10,7949,-751,7556.0,-600
-40,-10,9841,-432,9491.0,0
-40,-10,3842,2,9237.0,500
-40,0,2713,-685,2479.0,100
-40,0,610,658,7876.0,900
-40,0,3934,-716,7946.0,-1000
-40,0,1620,323,1224.0,-100
-40,0,2434,-220,7743.0,-300
-40,0,89,598,4689.0,-400
-40,0,5767,-364,5453.0,0
-40,0,4095,637,4693.0,-400
-40,0,8286,907,3099.0,-300
-40,0,6952,907,5867.0,800
-40,10,5824,290,8311.0,-800
-40,10,4447,383,4187.0,300
-40,10,2382,-477,9573.0,500
-40,10,1073,-470,2741.0,-700
-40,10,5974,-740,5658.0,-1000
-40,10,5020,-430,4270.0,-1000
-40,10,9960,-342,5210.0,-800
-40,10,7190,708,4589.0,-500
-40,10,7859,-887,503.0,600
-40,10,5158,271,3874.0,-1000
-40,20,3903,863,8427.0,200
-40,20,3392,717,5495.0,-500
-40,20,8371,890,2534.0,-800
-40,20,6197,-409,3441.0,0
-40,20,134,-64,9957.0,-1000
-40,20,9812,-280,7052.0,0
-40,20,4437,926,197.0,-300
-40,20,6254,-486,6241.0,400
-40,20,2879,940,9118.0,700
-40,20,4441,-671,3619.0,900
-40,30,1218,349,7921.0,-600
-40,30,1545,-850,1759.0,800
-40,30,9727,-871,9968.0,-1000
-40,30,8470,-106,7001.0,700
-40,30,9112,-390,1840.0,800
-40,30,2043,638,1640.0,-1000
-40,30,5285,-177,8959.0,900
-40,30,2099,291,4876.0,-500
-40,30,2622,742,7006.0,300
-40,30,797,450,3417.0,400
-40,40,4197,737,477.0,-400
-40,40,7052,252,8240.0,-700
-40,40,7301,53,246.0,600
-40,40,8307,114,57.0,-200
-40,40,4181,-393,3483.0,-900
-40,40,4345,813,9813.0,-1000
-40,40,1903,-321,2486.0,-1000
-40,40,5059,-772,8755.0,-700
-40,40,1522,-987,9075.0,400
-40,40,5428,-588,7559.0,700
-40,50,976,-140,7557.0,600
-40,50,5774,-991,246.0,800
-40,50,1940,598,7557.0,700
-40,50,9062,732,7558.0,600
-40,50,4025,484,8756.0,-600
-40,50,6197,-724,7557.0,500
-40,50,8882,-779,8756.0,-600
-40,50,6963,-427,7557.0,600
-40,50,8182,658,7558.0,700
-40,50,661,498,7558.0,600
-30,-100,5775,225,9560.0,100
-30,-100,2034,817,9968.0,-700
-30,-100,415,-735,6787.0,-800
-30,-100,6431,-895,6371.0,900
-30,-100,4295,926,7787.0,-900
-30,-100,6858,387,1612.0,-400
-30,-100,2593,731,9152.0,0
-30,-100,2926,301,4488.0,700
-30,-100,2228,-857,2229.0,-800
-30,-100,164,-475,6542.0,600
-30,-90,4764,-666,899.0,-1000
-30,-90,3086,-875,9219.0,600
-30,-90,45,-327,5697.0,800
-30,-90,3789,-42,3789.0,-100
-30,-90,7664,368,7665.0,400
-30,-90,8974,364,5293.0,600
-30,-90,2241,554,8824.0,500
-30,-90,2194,-48,6784.0,200
-30,-90,5311,589,5449.0,900
-30,-90,6103,952,3314.0,-400
-30,-80,9913,-685,7637.0,-900
-30,-80,5709,-179,5709.0,-300
-30,-80,9256,-368,5310.0,-300
-30,-80,7396,-384,778.0,500
-30,-80,8809,942,3709.0,300
-30,-80,7879,853,3002.0,800
-30,-80,6412,284,4219.0,600
-30,-80,2008,477,1227.0,600
-30,-80,8536,405,3504.0,-300
-30,-80,3680,-877,764.0,900
-30,-70,4204,369,4204.0,300
-30,-70,7104,5,8306.0,-1000
-30,-70,5370,-675,5257.0,100
-30,-70,8413,844,3772.0,300
-30,-70,8404,913,3287.0,-800
-30,-70,2602,437,2329.0,-400
-30,-70,4411,984,9291.0,800
-30,-70,2010,-756,8477.0,200
-30,-70,811,881,9151.0,0
-30,-70,5854,-2,3448.0,-800
-30,-60,7205,695,6548.0,900
-30,-60,7805,-524,3046.0,-800
-30,-60,8943,-401,1234.0,600
-30,-60,6128,-748,9327.0,-300
-30,-60,1014,728,1128.0,900
-30,-60,490,343,5820.0,-600
-30,-60,3255,288,2371.0,900
-30,-60,8376,-771,8549.0,500
-30,-60,6900,-112,35.0,-300
-30,-60,7534,846,2717.0,700
-30,-50,3205,147,790.0,0
-30,-50,157,545,6954.0,-800
-30,-50,8875,-917,4525.0,900
-30,-50,4751,-885,9196.0,300
-30,-50,968,386,8444.0,100
-30,-50,7790,-323,4897.0,-900
-30,-50,1691,-974,355.0,-1000
-30,-50,838,63,6508.0,-100
-30,-50,393,935,5180.0,500
-30,-50,4748,74,7706.0,900
-30,-40,1682,606,3861.0,-1000
