snr,wifi_db,exp_phase_shift,exp_doppler_shift,found_phase_shift,found_doppler_shift
-50,-100,9314,783,6318,0
-50,-100,7554,933,9644,-300
-50,-100,2923,197,3228,0
-50,-100,4688,-145,4101,300
-50,-100,2190,-865,9809,700
-50,-100,807,-962,6025,-100
-50,-100,5735,366,6263,-200
-50,-100,2091,157,4068,-800
-50,-100,5103,832,2661,-100
-50,-100,375,364,6020,900
-50,-100,1527,436,3546,300
-50,-100,7354,652,5068,-900
-50,-100,2015,601,5887,900
-50,-100,4450,-225,6404,200
-50,-100,3137,-612,4465,-500
-50,-100,1890,-458,6937,100
-50,-100,4666,-841,4869,-1000
-50,-100,2839,-865,9216,-800
-50,-100,5628,-906,2334,-600
-50,-100,9420,570,9859,-200
-50,-100,5528,-897,5951,-300
-50,-100,7455,765,3781,-800
-50,-100,9538,780,8236,800
-50,-100,9324,-346,1815,-800
-50,-100,1290,64,7467,-300
-50,-100,6119,-461,7624,900
-50,-100,4692,31,8398,900
-50,-100,4903,852,1779,-500
-50,-100,1030,450,7774,-400
-50,-100,9889,652,8806,-1000
-50,-100,6019,-771,6194,500
-50,-100,2480,408,3525,-400
-50,-100,1574,-148,1639,-1000
-50,-100,3501,-405,9695,900
-50,-100,2253,122,132,800
-50,-100,6986,211,9215,-800
-50,-100,3990,-449,2248,-900
-50,-100,1463,254,6911,900
-50,-100,1603,662,6304,800
-50,-100,3913,450,8856,200
-50,-100,1673,-168,3515,-600
-50,-100,1592,750,8958,900
-50,-100,4847,173,4682,100
-50,-100,1733,245,9091,700
-50,-100,3147,274,6865,-300
-50,-100,4922,-784,6078,0
-50,-100,2067,670,1381,600
-50,-100,7167,-966,7068,300
-50,-100,6083,-878,7243,-1000
-50,-100,2185,442,31,900
-50,-100,7980,937,3743,-100
-50,-100,9299,-734,8287,-100
-50,-100,5487,-975,6112,0
-50,-100,4783,-989,7791,-1000
-50,-100,7563,476,3926,-1000
-50,-100,6097,-879,7896,-500
-50,-100,4543,757,606,300
-50,-100,7874,374,1288,300
-50,-100,5690,222,450,-800
-50,-100,982,-994,8949,-300
-50,-100,9494,579,6242,500
-50,-100,3438,-548,8960,900
-50,-100,5498,616,8522,-400
-50,-100,3336,417,150,-200
-50,-100,9092,128,2633,-500
-50,-100,4140,918,9650,900
-50,-100,5284,551,6233,900
-50,-100,1326,992,6087,-100
-50,-100,993,479,8447,-1000
-50,-100,868,599,6319,400
-50,-100,7798,512,9384,-700
-50,-100,7542,596,2743,-600
-50,-100,3048,-801,6604,400
-50,-100,4994,986,3511,600
-50,-100,806,-497,5397,900
-50,-100,7763,2,6708,-1000
-50,-100,6484,148,5882,300
-50,-100,1075,136,1232,300
-50,-100,9077,-315,8365,-300
