epoch,detector_accuracy,detector_loss,loss,phase_accuracy,phase_loss,val_detector_accuracy,val_detector_loss,val_loss,val_phase_accuracy,val_phase_loss
0,0.8009374737739563,0.3905686140060425,0.8161062598228455,0.27250000834465027,0.42553749680519104,NA,NA,NA,NA,NA
1,0.8065624833106995,0.37718579173088074,0.7962542176246643,0.2784374952316284,0.4190681576728821,NA,NA,NA,NA,NA
2,0.7925000190734863,0.40080001950263977,0.8158383369445801,0.27437499165534973,0.41503801941871643,NA,NA,NA,NA,NA
3,0.8096874952316284,0.37856099009513855,0.7867298126220703,0.2746874988079071,0.4081686735153198,NA,NA,NA,NA,NA
4,0.8071874976158142,0.38447242975234985,0.7901480793952942,0.26750001311302185,0.4056757688522339,NA,NA,NA,NA,NA
5,0.7890625,0.39684757590293884,0.8111346364021301,0.2475000023841858,0.41428712010383606,NA,NA,NA,NA,NA
6,0.8096874952316284,0.3817903399467468,0.7719293832778931,0.2750000059604645,0.3901391327381134,NA,NA,NA,NA,NA
7,0.7990624904632568,0.39325621724128723,0.7954488396644592,0.2618750035762787,0.4021926820278168,NA,NA,NA,NA,NA
8,0.8075000047683716,0.3899274170398712,0.7945088148117065,0.2718749940395355,0.4045814275741577,NA,NA,NA,NA,NA
9,0.8062499761581421,0.37364882230758667,0.7705860733985901,0.2653124928474426,0.39693745970726013,NA,NA,NA,NA,NA
10,0.7953125238418579,0.3888263702392578,0.7868754863739014,0.26875001192092896,0.3980488181114197,NA,NA,NA,NA,NA
11,0.7903125286102295,0.3863737881183624,0.784473180770874,0.25593748688697815,0.39809924364089966,NA,NA,NA,NA,NA
12,0.7990624904632568,0.38266658782958984,0.7778277397155762,0.2787500023841858,0.3951609432697296,NA,NA,NA,NA,NA
13,0.8071874976158142,0.3792920410633087,0.7682430744171143,0.24812500178813934,0.38895121216773987,NA,NA,NA,NA,NA
14,0.8059375286102295,0.3807058334350586,0.768220841884613,0.2706249952316284,0.38751494884490967,NA,NA,NA,NA,NA
15,0.7984374761581421,0.38212424516677856,0.7769100666046143,0.24281249940395355,0.39478600025177,NA,NA,NA,NA,NA
16,0.8112499713897705,0.3763008415699005,0.7622988224029541,0.25437501072883606,0.38599786162376404,NA,NA,NA,NA,NA
17,0.7978125214576721,0.3957973122596741,0.7869871258735657,0.23906250298023224,0.3911898732185364,NA,NA,NA,NA,NA
18,0.8096874952316284,0.37823036313056946,0.763700008392334,0.2503125071525574,0.38546955585479736,NA,NA,NA,NA,NA
19,0.8025000095367432,0.39050766825675964,0.7840883135795593,0.26656249165534973,0.3935804069042206,NA,NA,NA,NA,NA
20,0.7900000214576721,0.392434686422348,0.7829633951187134,0.2618750035762787,0.3905286490917206,NA,NA,NA,NA,NA
21,0.8125,0.37161529064178467,0.7537841200828552,0.25843751430511475,0.3821687400341034,NA,NA,NA,NA,NA
