epoch,detector_accuracy,detector_loss,loss,phase_accuracy,phase_loss,val_detector_accuracy,val_detector_loss,val_loss,val_phase_accuracy,val_phase_loss
22,0.8059375286102295,0.37383294105529785,0.7641159892082214,0.2515625059604645,0.39028289914131165,NA,NA,NA,NA,NA
23,0.7996875047683716,0.3751324713230133,0.7699252963066101,0.25687500834465027,0.3947927951812744,NA,NA,NA,NA,NA
24,0.8018749952316284,0.3887302279472351,0.7778538465499878,0.24656249582767487,0.3891236484050751,NA,NA,NA,NA,NA
25,0.8084375262260437,0.3719647526741028,0.7508544325828552,0.2306250035762787,0.3788897395133972,NA,NA,NA,NA,NA
26,0.8121874928474426,0.376174658536911,0.755535364151001,0.26374998688697815,0.37936070561408997,NA,NA,NA,NA,NA
27,0.8075000047683716,0.372381329536438,0.7512136697769165,0.26124998927116394,0.3788326680660248,NA,NA,NA,NA,NA
28,0.8109375238418579,0.3767588138580322,0.7500389814376831,0.2381249964237213,0.3732801079750061,NA,NA,NA,NA,NA
29,0.7956249713897705,0.3870548605918884,0.7761145234107971,0.24687500298023224,0.3890596628189087,NA,NA,NA,NA,NA
30,0.7940624952316284,0.38918769359588623,0.7769079804420471,0.2581250071525574,0.3877202570438385,NA,NA,NA,NA,NA
31,0.8056250214576721,0.37858420610427856,0.7493473291397095,0.2565625011920929,0.37076306343078613,NA,NA,NA,NA,NA
32,0.8109375238418579,0.3719257712364197,0.7432493567466736,0.24687500298023224,0.371323823928833,NA,NA,NA,NA,NA
33,0.8087499737739563,0.38213202357292175,0.7597053647041321,0.23406249284744263,0.37757325172424316,NA,NA,NA,NA,NA
34,0.8087499737739563,0.38514599204063416,0.7632882595062256,0.24687500298023224,0.37814226746559143,NA,NA,NA,NA,NA
35,0.8109375238418579,0.3667903542518616,0.7477748990058899,0.24781249463558197,0.3809845745563507,NA,NA,NA,NA,NA
36,0.8012499809265137,0.38182803988456726,0.7646347284317017,0.2628124952316284,0.38280659914016724,NA,NA,NA,NA,NA
37,0.8056250214576721,0.3743385970592499,0.7547069787979126,0.2553125023841858,0.3803683817386627,NA,NA,NA,NA,NA
38,0.8103125095367432,0.371759831905365,0.7442872524261475,0.24781249463558197,0.3725273013114929,NA,NA,NA,NA,NA
39,0.8040624856948853,0.3834483325481415,0.7625105977058411,0.2446874976158142,0.3790624737739563,NA,NA,NA,NA,NA
40,0.8018749952316284,0.379597008228302,0.7591471076011658,0.2503125071525574,0.3795500695705414,NA,NA,NA,NA,NA
41,0.8040624856948853,0.36990973353385925,0.7515609860420227,0.25593748688697815,0.38165128231048584,NA,NA,NA,NA,NA
42,0.8240625262260437,0.3562389314174652,0.7268211841583252,0.25,0.3705824017524719,NA,NA,NA,NA,NA
43,0.8018749952316284,0.3848917484283447,0.7736950516700745,0.2615624964237213,0.3888031840324402,NA,NA,NA,NA,NA
44,0.8153125047683716,0.3606242835521698,0.738375723361969,0.22687500715255737,0.37775126099586487,NA,NA,NA,NA,NA
45,0.8025000095367432,0.3771466016769409,0.7587863802909851,0.23375000059604645,0.38163992762565613,NA,NA,NA,NA,NA
46,0.823437511920929,0.3610617518424988,0.7258153557777405,0.22437499463558197,0.36475348472595215,NA,NA,NA,NA,NA
47,0.7965624928474426,0.38795706629753113,0.7759334444999695,0.22374999523162842,0.38797613978385925,NA,NA,NA,NA,NA
48,0.7987499833106995,0.3767843246459961,0.7565107941627502,0.2512499988079071,0.3797263205051422,NA,NA,NA,NA,NA
49,0.8053125143051147,0.38490748405456543,0.7580974102020264,0.21687500178813934,0.3731900155544281,NA,NA,NA,NA,NA
50,0.8137500286102295,0.3650997281074524,0.7304142713546753,0.2537499964237213,0.3653145730495453,NA,NA,NA,NA,NA
51,0.815625011920929,0.3752080798149109,0.7511356472969055,0.27000001072883606,0.37592750787734985,NA,NA,NA,NA,NA
52,0.8006250262260437,0.3857632875442505,0.7655467391014099,0.25093749165534973,0.3797834515571594,NA,NA,NA,NA,NA
53,0.7946875095367432,0.385348916053772,0.774867832660675,0.22468750178813934,0.3895191252231598,NA,NA,NA,NA,NA
54,0.8153125047683716,0.37324240803718567,0.7458834052085876,0.23749999701976776,0.3726406395435333,NA,NA,NA,NA,NA
55,0.8071874976158142,0.37757357954978943,0.7543534636497498,0.23593750596046448,0.37677985429763794,NA,NA,NA,NA,NA
56,0.8212500214576721,0.35986870527267456,0.7260615825653076,0.2475000023841858,0.3661925792694092,NA,NA,NA,NA,NA
57,0.8028125166893005,0.37761470675468445,0.7531384229660034,0.24187499284744263,0.3755238652229309,NA,NA,NA,NA,NA
58,0.8106250166893005,0.36905360221862793,0.7450254559516907,0.23468750715255737,0.3759717643260956,NA,NA,NA,NA,NA
59,0.8184375166893005,0.363730788230896,0.7297096848487854,0.24375000596046448,0.36597874760627747,NA,NA,NA,NA,NA
60,0.8118749856948853,0.3671152591705322,0.739044189453125,0.25312501192092896,0.37192878127098083,NA,NA,NA,NA,NA
61,0.8137500286102295,0.3739355206489563,0.7541760206222534,0.23874999582767487,0.38024061918258667,NA,NA,NA,NA,NA
62,0.8121874928474426,0.3766060173511505,0.7465922832489014,0.27281248569488525,0.3699864149093628,NA,NA,NA,NA,NA
63,0.8068749904632568,0.3657137155532837,0.7358896136283875,0.2574999928474426,0.37017589807510376,NA,NA,NA,NA,NA
64,0.8246874809265137,0.34765416383743286,0.7100796699523926,0.24156250059604645,0.36242544651031494,NA,NA,NA,NA,NA
65,0.809374988079071,0.3691517114639282,0.7428455948829651,0.2615624964237213,0.37369412183761597,NA,NA,NA,NA,NA
66,0.8174999952316284,0.3669588565826416,0.736784815788269,0.23906250298023224,0.36982595920562744,NA,NA,NA,NA,NA
67,0.8143749833106995,0.35975486040115356,0.7275509834289551,0.23093749582767487,0.3677961826324463,NA,NA,NA,NA,NA
68,0.8065624833106995,0.3687215745449066,0.7346352338790894,0.22937500476837158,0.3659135699272156,NA,NA,NA,NA,NA
69,0.8196874856948853,0.3652143180370331,0.7328594326972961,0.23937499523162842,0.36764517426490784,NA,NA,NA,NA,NA
70,0.8065624833106995,0.38278862833976746,0.7630768418312073,0.22718749940395355,0.3802882134914398,NA,NA,NA,NA,NA
