time,lat,lon,freq_index,peak_val,noise_mean
20260805_135044,,,0,3,1
20260805_135044,,,1,2,1
20260805_135045,,,2,4,1
20260805_135045,,,3,9,2
20260805_135046,,,4,5,1
20260805_135046,43.134388,-70.936296,5,5,2
20260805_135047,43.134388,-70.936296,6,16,4
20260805_135047,43.134342,-70.93627,7,19,8
20260805_135048,43.134342,-70.93627,8,9,5
20260805_135048,43.134293,-70.936254,9,6,2
20260805_135049,43.134293,-70.936254,10,2,1
20260805_135049,43.134245,-70.936245,11,2,1
20260805_135050,43.134245,-70.936245,12,3,1
20260805_135050,43.134195,-70.936242,13,3,1
20260805_135051,43.134195,-70.936242,14,2,1
20260805_135051,43.134146,-70.936242,15,3,1
20260805_135052,43.134146,-70.936242,16,2,1
20260805_135052,43.1341,-70.936248,17,1,0
20260805_135053,43.1341,-70.936248,18,4,2
20260805_135053,43.134057,-70.936254,19,6,2
20260805_135054,43.134057,-70.936254,20,5,2
20260805_135054,,,0,5,2
20260805_135055,,,1,2,1
20260805_135055,,,2,4,1
20260805_135056,,,3,6,2
20260805_135056,,,4,5,1
20260805_135057,,,5,5,2
20260805_135057,,,6,11,4
20260805_135058,,,7,15,6
20260805_135058,,,8,8,3
20260805_135059,,,9,7,3
20260805_135059,43.134073,-70.936635,10,6,3
20260805_135100,43.134073,-70.936635,11,4,2
20260805_135100,43.134104,-70.936699,12,5,3
20260805_135101,43.134137,-70.936764,13,4,2
20260805_135101,43.134137,-70.936764,14,5,3
20260805_135102,43.134176,-70.936834,15,7,3
20260805_135102,43.134176,-70.936834,16,5,2
20260805_135103,43.134217,-70.936905,17,3,2
20260805_135103,43.134217,-70.936905,18,3,2
20260805_135104,43.134259,-70.936977,19,7,2
20260805_135104,43.134259,-70.936977,20,3,2
20260805_135105,43.134304,-70.937048,0,5,2
20260805_135105,43.134304,-70.937048,1,5,2
20260805_135106,43.134351,-70.93712,2,4,2
20260805_135106,43.134351,-70.93712,3,8,3
20260805_135107,43.134398,-70.937192,4,6,2
20260805_135107,43.134398,-70.937192,5,6,3
20260805_135108,43.134444,-70.937263,6,16,4
20260805_135108,43.134444,-70.937263,7,17,8
20260805_135109,43.134487,-70.937332,8,12,6
20260805_135109,43.134487,-70.937332,9,8,2
20260805_135110,43.134529,-70.937399,10,3,1
20260805_135110,43.134529,-70.937399,11,3,2
20260805_135111,43.134568,-70.937466,12,4,2
20260805_135111,43.134568,-70.937466,13,4,2
20260805_135112,,,14,3,1
20260805_135112,,,15,4,1
20260805_135113,,,16,4,2
20260805_135113,,,17,3,1
20260805_135114,,,18,4,2
20260805_135114,,,19,5,2
20260805_135115,,,20,5,2
20260805_135115,,,0,4,1
20260805_135116,43.134749,-70.937781,1,2,1
20260805_135116,43.134749,-70.937781,2,3,2
20260805_135117,43.134758,-70.937816,3,9,3
20260805_135117,43.134758,-70.937816,4,4,1
20260805_135118,43.134785,-70.937862,5,5,2
20260805_135119,43.134785,-70.937862,6,9,3
20260805_135119,,,7,21,8
20260805_135120,,,8,8,3
20260805_135120,,,9,7,3
20260805_135121,,,10,6,2
20260805_135121,,,11,2,1
20260805_135122,,,12,4,2
20260805_135122,43.134593,-70.937904,13,4,2
20260805_135123,43.134593,-70.937904,14,3,2
20260805_135123,43.134549,-70.937964,15,6,2
20260805_135124,43.134549,-70.937964,16,3,1
20260805_135124,43.1345,-70.938024,17,3,1
20260805_135125,43.1345,-70.938024,18,5,2
20260805_135125,43.134448,-70.938081,19,6,2
20260805_135126,43.134448,-70.938081,20,4,2
20260805_135126,43.134393,-70.938134,0,4,2
20260805_135127,43.134393,-70.938134,1,3,1
20260805_135127,43.134337,-70.938185,2,5,2
20260805_135128,43.134337,-70.938185,3,8,3
20260805_135128,43.134283,-70.938233,4,8,4
20260805_135129,43.134283,-70.938233,5,6,2
20260805_135129,43.134228,-70.938275,6,15,4
20260805_135130,43.134228,-70.938275,7,15,6
20260805_135130,43.134173,-70.938311,8,16,7
20260805_135131,43.134173,-70.938311,9,8,3
20260805_135131,43.134122,-70.938341,10,4,2
20260805_135132,43.134122,-70.938341,11,3,1
20260805_135132,,,12,4,2
20260805_135133,,,13,4,1
20260805_135133,,,14,3,1
20260805_135134,,,15,4,2
20260805_135134,,,16,3,1
20260805_135135,,,17,3,1
20260805_135135,,,18,3,1
20260805_135136,,,19,4,2
20260805_135136,,,20,3,1
20260805_135137,,,0,5,2
20260805_135137,,,1,4,2
20260805_135138,,,2,4,2
20260805_135138,,,3,10,4
20260805_135139,,,4,7,3
20260805_135139,43.133968,-70.938193,5,5,2
20260805_135140,43.133968,-70.938193,6,16,4
20260805_135140,43.133974,-70.938176,7,20,9
20260805_135141,43.133976,-70.938163,8,8,5
20260805_135141,43.133976,-70.938163,9,7,3
20260805_135142,43.133977,-70.938156,10,4,2
20260805_135142,43.133977,-70.938156,11,2,1
20260805_135143,43.133975,-70.938151,12,3,2
20260805_135143,43.133975,-70.938151,13,3,1
20260805_135144,43.133974,-70.938148,14,3,2
20260805_135144,43.133974,-70.938148,15,4,1
20260805_135145,43.133974,-70.938146,16,4,1
20260805_135145,43.133974,-70.938146,17,3,1
20260805_135146,43.133973,-70.938145,18,4,2
20260805_135146,43.133973,-70.938145,19,7,2
20260805_135147,43.133973,-70.938144,20,5,2
20260805_135147,43.133973,-70.938144,0,3,1
20260805_135148,43.133974,-70.938144,1,4,2
20260805_135148,43.133974,-70.938144,2,4,2
20260805_135149,43.133974,-70.938143,3,6,2
20260805_135149,43.133974,-70.938143,4,6,2
20260805_135150,43.133974,-70.938143,5,6,3
20260805_135150,43.133974,-70.938143,6,13,4
20260805_135151,43.133974,-70.938143,7,16,7
20260805_135151,43.133974,-70.938143,8,8,3
20260805_135152,43.133974,-70.938143,9,9,3
20260805_135152,43.133974,-70.938143,10,5,2
20260805_135153,43.133974,-70.938142,11,4,2
20260805_135153,43.133974,-70.938142,12,5,2
20260805_135154,43.133974,-70.938142,13,5,2
20260805_135154,43.133974,-70.938142,14,3,1
20260805_135155,43.133974,-70.938142,15,4,2
20260805_135155,43.133974,-70.938142,16,4,2
20260805_135156,43.133975,-70.938142,17,5,2
20260805_135156,43.133975,-70.938142,18,4,3
20260805_135157,43.133975,-70.938142,19,8,3
20260805_135157,43.133975,-70.938142,20,4,2
20260805_135158,43.133974,-70.938141,0,5,2
20260805_135159,43.133974,-70.938141,1,5,2
20260805_135159,43.133975,-70.938141,2,4,1
20260805_135200,43.133975,-70.938141,3,9,3
20260805_135200,43.133975,-70.938141,4,6,2
20260805_135201,43.133975,-70.938141,5,6,2
20260805_135201,43.133975,-70.938141,6,16,4
20260805_135202,43.133975,-70.938141,7,18,8
20260805_135202,43.133975,-70.938141,8,9,5
20260805_135203,43.133975,-70.938141,9,6,3
20260805_135203,43.133976,-70.93814,10,3,2
20260805_135204,43.133976,-70.93814,11,3,2
20260805_135204,43.133976,-70.93814,12,4,2
20260805_135205,43.133976,-70.93814,13,5,2
20260805_135205,43.133977,-70.938139,14,4,2
20260805_135206,43.133977,-70.938139,15,5,2
20260805_135206,43.133977,-70.938139,16,4,2
20260805_135207,43.133977,-70.938139,17,4,2
20260805_135207,43.133978,-70.938138,18,5,2
20260805_135208,43.133978,-70.938138,19,6,2
20260805_135208,43.133979,-70.938138,20,5,2
20260805_135209,43.133979,-70.938138,0,6,2
20260805_135209,43.133979,-70.938138,1,3,2
20260805_135210,43.133979,-70.938138,2,4,2
20260805_135210,43.13398,-70.938138,3,7,3
20260805_135211,43.13398,-70.938138,4,7,3
20260805_135211,43.13398,-70.938138,5,6,3
20260805_135212,43.13398,-70.938138,6,11,4
20260805_135212,43.13398,-70.938138,7,15,9
20260805_135213,43.13398,-70.938138,8,7,3
20260805_135213,43.133981,-70.938138,9,6,3
20260805_135214,43.133981,-70.938138,10,6,3
20260805_135214,43.133981,-70.938138,11,2,1
20260805_135215,43.133981,-70.938138,12,4,2
20260805_135215,43.133981,-70.938138,13,4,2
20260805_135216,43.133981,-70.938138,14,4,1
20260805_135216,43.133981,-70.938138,15,4,1
20260805_135217,43.133981,-70.938138,16,3,1
20260805_135217,43.133981,-70.938138,17,2,1
20260805_135218,43.133981,-70.938138,18,3,1
20260805_135218,43.133981,-70.938139,19,5,1
20260805_135219,43.133981,-70.938139,20,3,1
20260805_135219,43.133981,-70.938139,0,3,1
20260805_135220,43.133981,-70.938139,1,3,1
20260805_135220,43.133981,-70.938139,2,4,1
20260805_135221,43.133981,-70.938139,3,7,2
