time,lat,lon,freq_index,peak_val,noise_mean
20260805_093022,,,0,3,1
20260805_093022,,,1,2,1
20260805_093023,,,2,2,1
20260805_093023,,,3,3,1
20260805_093024,,,4,3,1
20260805_093024,,,5,3,1
20260805_093025,,,6,5,2
20260805_093025,,,7,6,3
20260805_093026,,,8,3,2
20260805_093026,,,9,3,2
20260805_093027,,,10,3,1
20260805_093027,,,11,3,1
20260805_093028,,,12,3,1
20260805_093028,,,13,3,1
20260805_093029,,,14,3,1
20260805_093029,,,15,4,2
20260805_093030,,,16,3,1
20260805_093030,,,17,3,1
20260805_093031,,,18,3,2
20260805_093031,,,19,4,1
20260805_093032,,,20,3,1
20260805_093032,,,0,4,2
20260805_093033,,,1,2,1
20260805_093033,,,2,3,1
20260805_093034,,,3,3,1
20260805_093034,,,4,3,1
20260805_093035,,,5,2,1
20260805_093035,,,6,4,1
20260805_093036,,,7,6,3
20260805_093036,,,8,3,1
20260805_093037,,,9,3,1
20260805_093037,,,10,3,1
20260805_093038,,,11,2,1
20260805_093038,,,12,2,1
20260805_093039,,,13,2,1
20260805_093039,,,14,2,1
20260805_093040,,,15,2,1
20260805_093040,,,16,2,1
20260805_093041,,,17,2,1
20260805_093041,,,18,2,1
20260805_093042,,,19,3,1
20260805_093042,,,20,1,1
20260805_093043,,,0,3,1
20260805_093043,,,1,2,1
20260805_093044,,,2,2,1
20260805_093044,,,3,3,1
20260805_093045,,,4,2,1
20260805_093045,,,5,2,1
20260805_093046,,,6,5,1
20260805_093046,,,7,6,3
20260805_093047,,,8,2,1
20260805_093047,,,9,3,1
20260805_093048,,,10,2,1
20260805_093048,,,11,2,1
20260805_093049,,,12,3,1
20260805_093049,,,13,3,1
20260805_093050,,,14,2,1
20260805_093050,,,15,3,1
20260805_093051,,,16,3,1
20260805_093051,,,17,2,1
20260805_093052,,,18,2,1
20260805_093052,,,19,3,1
20260805_093053,,,20,3,2
20260805_093053,,,0,3,2
20260805_093054,,,1,3,1
20260805_093054,,,2,3,2
20260805_093055,,,3,4,2
20260805_093055,,,4,3,1
20260805_093056,,,5,3,1
20260805_093056,,,6,4,2
20260805_093057,,,7,6,3
