time,lat,lon,freq_index,peak_val,noise_mean
20260805_112243,,,0,95,37
20260805_112243,,,1,84,37
20260805_112244,,,2,87,39
20260805_112244,,,3,87,41
20260805_112245,,,4,75,37
20260805_112245,,,5,87,39
20260805_112246,,,6,92,40
20260805_112246,,,7,79,40
20260805_112247,,,8,103,37
20260805_112247,,,9,99,41
20260805_112248,,,10,95,41
20260805_112248,,,11,94,40
20260805_112249,,,12,10,4
20260805_112249,,,13,7,3
20260805_112250,,,14,8,3
20260805_112250,,,15,6,2
20260805_112251,,,16,0,0
20260805_112251,,,17,0,0
20260805_112252,,,18,0,0
20260805_112252,,,19,0,0
20260805_112253,,,20,0,0
20260805_112253,,,0,0,0
20260805_112254,,,1,0,0
20260805_112254,,,2,0,0
20260805_112255,,,3,0,0
20260805_112255,,,4,0,0
20260805_112256,,,5,0,0
20260805_112256,,,6,4,1
20260805_112257,,,7,6,2
20260805_112258,,,8,3,1
20260805_112258,,,9,3,1
20260805_112259,,,10,2,1
20260805_112259,,,11,2,1
20260805_112300,,,12,2,1
20260805_112300,,,13,2,1
20260805_112301,,,14,1,0
20260805_112301,,,15,3,1
20260805_112302,,,16,2,1
20260805_112302,,,17,2,1
20260805_112303,,,18,2,1
20260805_112303,,,19,3,1
20260805_112304,,,20,1,0
20260805_112304,,,0,2,1
20260805_112305,,,1,2,1
20260805_112305,,,2,2,1
20260805_112306,,,3,3,1
20260805_112306,,,4,3,1
20260805_112307,,,5,2,1
20260805_112307,,,6,5,1
20260805_112308,,,7,6,2
20260805_112308,,,8,2,1
20260805_112309,,,9,3,1
20260805_112309,,,10,2,1
20260805_112310,,,11,1,0
20260805_112310,,,12,2,0
20260805_112311,,,13,2,1
20260805_112311,,,14,2,1
20260805_112312,,,15,3,1
20260805_112312,,,16,1,0
20260805_112313,,,17,2,1
20260805_112313,,,18,2,1
20260805_112314,,,19,3,1
20260805_112314,,,20,2,1
20260805_112315,,,0,2,0
20260805_112315,,,1,2,1
20260805_112316,,,2,2,1
20260805_112316,,,3,4,1
20260805_112317,,,4,3,1
20260805_112317,,,5,3,1
20260805_112318,,,6,5,1
20260805_112318,,,7,6,2
20260805_112319,,,8,3,1
20260805_112319,,,9,2,1
20260805_112320,,,10,2,1
20260805_112320,,,11,2,1
20260805_112321,,,12,2,1
20260805_112321,,,13,2,1
20260805_112322,,,14,2,1
20260805_112322,,,15,2,1
20260805_112323,,,16,2,1
20260805_112323,,,17,2,1
20260805_112324,,,18,2,1
20260805_112324,,,19,3,1
20260805_112325,,,20,1,0
20260805_112325,,,0,2,0
20260805_112326,,,1,1,0
20260805_112326,,,2,2,1
20260805_112327,,,3,3,1
20260805_112327,,,4,2,0
20260805_112328,,,5,2,1
20260805_112328,,,6,4,1
20260805_112329,,,7,6,2
20260805_112329,,,8,3,1
20260805_112330,,,9,3,1
20260805_112330,,,10,2,1
20260805_112331,,,11,2,1
20260805_112331,,,12,2,1
20260805_112332,,,13,2,1
20260805_112332,,,14,1,0
20260805_112333,,,15,2,1
20260805_112333,,,16,2,1
20260805_112334,,,17,2,1
20260805_112334,,,18,2,1
20260805_112335,,,19,4,1
20260805_112336,,,20,2,1
20260805_112336,,,0,3,1
20260805_112337,,,1,2,1
20260805_112337,,,2,2,1
20260805_112338,,,3,3,1
20260805_112338,,,4,2,1
20260805_112339,,,5,3,1
20260805_112339,,,6,4,1
20260805_112340,,,7,6,2
20260805_112340,,,8,3,1
20260805_112341,,,9,3,1
20260805_112341,,,10,2,1
20260805_112342,,,11,2,1
20260805_112342,,,12,2,1
20260805_112343,,,13,2,1
20260805_112343,,,14,1,0
20260805_112344,,,15,2,0
20260805_112344,,,16,1,0
20260805_112345,,,17,1,0
20260805_112345,,,18,1,0
20260805_112346,,,19,2,0
20260805_112346,,,20,1,0
20260805_112347,,,0,2,0
20260805_112347,,,1,1,0
20260805_112348,,,2,1,0
20260805_112348,,,3,3,1
20260805_112349,,,4,2,0
20260805_112349,,,5,2,1
20260805_112350,,,6,5,1
20260805_112350,,,7,6,2
20260805_112351,,,8,2,1
20260805_112351,,,9,3,1
20260805_112352,,,10,2,1
20260805_112352,,,11,2,1
20260805_112353,,,12,2,1
20260805_112353,,,13,2,0
20260805_112354,,,14,2,1
20260805_112354,,,15,3,1
20260805_112355,,,16,2,1
20260805_112355,,,17,2,1
20260805_112356,,,18,2,1
