time,lat,lon,freq_index,peak_val,noise_mean
20260805_151922,43.124319,-70.915087,0,4,2
20260805_151922,43.124319,-70.915087,1,3,2
20260805_151923,43.124319,-70.915087,2,4,2
20260805_151923,43.124319,-70.915087,3,7,3
20260805_151924,43.124319,-70.915087,4,8,4
20260805_151924,43.124319,-70.915087,5,7,3
20260805_151925,43.124319,-70.915087,6,14,5
20260805_151926,43.124319,-70.915087,7,16,7
20260805_151926,43.124318,-70.915087,8,8,3
20260805_151927,43.124318,-70.915087,9,8,3
20260805_151927,43.124318,-70.915087,10,5,2
20260805_151928,43.124318,-70.915087,11,4,2
20260805_151928,43.124318,-70.915086,12,4,2
20260805_151929,43.124318,-70.915086,13,4,2
20260805_151929,43.124318,-70.915086,14,4,2
20260805_151930,43.124318,-70.915086,15,3,2
20260805_151930,43.124318,-70.915086,16,4,2
20260805_151931,43.124318,-70.915086,17,3,1
20260805_151931,43.124318,-70.915087,18,3,2
20260805_151932,43.124318,-70.915087,19,6,2
20260805_151932,43.124318,-70.915087,20,4,2
20260805_151933,43.124318,-70.915087,0,5,2
20260805_151933,43.124318,-70.915087,1,5,2
20260805_151934,43.124318,-70.915087,2,4,2
20260805_151934,43.124318,-70.915087,3,10,4
20260805_151935,43.124318,-70.915087,4,8,3
20260805_151935,43.124318,-70.915087,5,7,3
20260805_151936,43.124318,-70.915087,6,18,5
20260805_151936,43.124318,-70.915086,7,20,9
20260805_151937,43.124318,-70.915086,8,10,5
20260805_151937,43.124318,-70.915086,9,8,4
20260805_151938,43.124318,-70.915086,10,4,2
20260805_151938,43.124318,-70.915087,11,5,2
20260805_151939,43.124318,-70.915087,12,5,2
20260805_151939,43.124318,-70.915087,13,5,3
20260805_151940,43.124318,-70.915087,14,5,3
20260805_151940,43.124317,-70.915087,15,7,3
20260805_151941,43.124317,-70.915087,16,5,3
20260805_151941,43.124317,-70.915087,17,6,3
20260805_151942,43.124317,-70.915087,18,5,3
20260805_151942,43.124316,-70.915087,19,9,3
20260805_151943,43.124316,-70.915087,20,7,3
20260805_151943,43.124316,-70.915087,0,7,2
20260805_151944,43.124316,-70.915087,1,4,2
20260805_151944,43.124316,-70.915087,2,6,3
20260805_151945,43.124316,-70.915087,3,8,4
20260805_151945,43.124316,-70.915088,4,8,3
20260805_151946,43.124316,-70.915088,5,6,3
20260805_151946,43.124316,-70.915088,6,12,4
20260805_151947,43.124316,-70.915088,7,16,7
20260805_151947,43.124315,-70.915088,8,7,3
20260805_151948,43.124315,-70.915088,9,8,4
20260805_151948,43.124315,-70.915088,10,5,2
