time,lat,lon,freq_index,peak_val,noise_mean
20260805_132623,43.13742,-70.934638,0,4,1
20260805_132624,43.13742,-70.934638,1,2,1
20260805_132624,43.13742,-70.934638,2,2,1
20260805_132625,43.13742,-70.934638,3,5,2
20260805_132625,43.13742,-70.934638,4,4,1
20260805_132626,43.13742,-70.934638,5,4,2
20260805_132626,43.13742,-70.934638,6,9,3
20260805_132627,43.13742,-70.934638,7,11,5
20260805_132627,43.13742,-70.934638,8,4,2
20260805_132628,43.13742,-70.934638,9,5,2
20260805_132628,43.13742,-70.934638,10,3,1
20260805_132629,43.13742,-70.934638,11,2,1
20260805_132629,43.13742,-70.934638,12,3,1
20260805_132630,43.13742,-70.934638,13,3,1
20260805_132630,43.13742,-70.934638,14,3,1
20260805_132631,43.13742,-70.934638,15,4,1
20260805_132631,43.13742,-70.934638,16,3,1
20260805_132632,43.137421,-70.934638,17,3,1
20260805_132632,43.137421,-70.934638,18,3,1
20260805_132633,43.137421,-70.934638,19,5,2
20260805_132633,43.137421,-70.934638,20,2,1
20260805_132634,43.137421,-70.934638,0,4,1
20260805_132634,43.137421,-70.934638,1,2,1
20260805_132635,43.137421,-70.934638,2,3,1
20260805_132635,43.137421,-70.934638,3,5,2
20260805_132636,43.137421,-70.934638,4,4,1
20260805_132636,43.137421,-70.934638,5,4,2
20260805_132637,43.137421,-70.934638,6,9,3
20260805_132637,43.137421,-70.934638,7,11,5
20260805_132638,43.137421,-70.934638,8,4,2
20260805_132638,43.137421,-70.934638,9,5,2
20260805_132639,43.137421,-70.934638,10,2,1
20260805_132639,43.137421,-70.934638,11,2,1
20260805_132640,43.137421,-70.934638,12,3,1
20260805_132640,43.137421,-70.934638,13,3,1
20260805_132641,43.137421,-70.934638,14,2,1
20260805_132641,43.137421,-70.934638,15,3,1
20260805_132642,43.137421,-70.934638,16,3,1
20260805_132642,43.137421,-70.934638,17,2,1
20260805_132643,43.137421,-70.934638,18,3,1
20260805_132643,43.137421,-70.934638,19,4,1
20260805_132644,43.137421,-70.934638,20,2,1
20260805_132644,43.137421,-70.934638,0,3,1
20260805_132645,43.137421,-70.934638,1,2,1
20260805_132645,43.137421,-70.934638,2,2,1
20260805_132646,43.137421,-70.934638,3,5,2
20260805_132647,43.137421,-70.934638,4,4,1
20260805_132647,43.137421,-70.934638,5,3,1
20260805_132648,43.137421,-70.934638,6,8,2
20260805_132648,43.137421,-70.934638,7,11,5
20260805_132649,43.137421,-70.934638,8,5,2
20260805_132649,43.137421,-70.934638,9,4,1
20260805_132650,43.137421,-70.934638,10,3,1
20260805_132650,43.137421,-70.934638,11,2,1
20260805_132651,43.137421,-70.934638,12,3,1
20260805_132651,43.137421,-70.934639,13,2,1
20260805_132652,43.137421,-70.934639,14,2,1
20260805_132652,43.137421,-70.934639,15,4,1
20260805_132653,43.137421,-70.934639,16,3,1
20260805_132653,43.137421,-70.934639,17,3,1
20260805_132654,43.137421,-70.934639,18,3,1
20260805_132654,43.137421,-70.934639,19,4,1
20260805_132655,43.137421,-70.934639,20,2,1
20260805_132655,43.137421,-70.934639,0,4,1
20260805_132656,43.137421,-70.934639,1,2,1
20260805_132656,43.137421,-70.934639,2,3,1
20260805_132657,43.137421,-70.934639,3,6,2
20260805_132657,43.137421,-70.934639,4,4,2
20260805_132658,43.137421,-70.934639,5,5,2
20260805_132658,43.137421,-70.934639,6,9,3
20260805_132659,43.137421,-70.934639,7,11,5
20260805_132659,43.137421,-70.934639,8,5,2
