time,lat,lon,freq_index,peak_val,noise_mean
20260805_130605,43.137714,-70.930873,6,5,2
20260805_130605,43.137714,-70.930873,7,6,3
20260805_130606,43.137714,-70.930873,8,2,1
20260805_130606,43.137714,-70.930873,9,2,1
20260805_130607,43.137714,-70.930873,10,2,1
20260805_130607,43.137714,-70.930873,11,1,0
20260805_130608,43.137714,-70.930873,12,2,1
20260805_130608,43.137714,-70.930873,13,3,1
20260805_130609,43.137714,-70.930873,14,2,1
20260805_130609,43.137714,-70.930872,15,2,1
20260805_130610,43.137714,-70.930872,16,2,1
20260805_130610,43.137714,-70.930872,17,2,1
20260805_130611,43.137714,-70.930872,18,2,1
20260805_130611,43.137714,-70.930872,19,3,1
20260805_130612,43.137714,-70.930872,20,2,1
20260805_130612,43.137714,-70.930872,0,2,1
20260805_130613,43.137714,-70.930872,1,2,1
20260805_130613,43.137714,-70.930872,2,2,1
20260805_130614,43.137714,-70.930872,3,3,1
20260805_130614,43.137714,-70.930871,4,3,1
20260805_130615,43.137714,-70.930871,5,3,1
20260805_130615,43.137714,-70.930871,6,5,1
20260805_130616,43.137714,-70.930871,7,6,3
20260805_130616,43.137714,-70.930871,8,3,1
20260805_130617,43.137714,-70.930871,9,3,1
20260805_130617,43.137714,-70.930871,10,3,1
20260805_130618,43.137714,-70.930871,11,2,1
20260805_130618,43.137714,-70.930871,12,2,1
20260805_130619,43.137714,-70.930871,13,2,1
20260805_130619,43.137714,-70.930871,14,2,1
20260805_130620,43.137714,-70.930871,15,3,1
20260805_130620,43.137714,-70.930871,16,2,1
20260805_130621,43.137714,-70.930871,17,2,1
20260805_130621,43.137714,-70.930871,18,2,1
20260805_130622,43.137714,-70.930871,19,3,1
20260805_130622,43.137714,-70.930871,20,2,1
20260805_130623,43.137714,-70.930871,0,3,1
20260805_130623,43.137714,-70.930871,1,2,1
20260805_130624,43.137714,-70.930871,2,2,1
20260805_130624,43.137714,-70.930871,3,3,1
20260805_130625,43.137714,-70.930871,4,2,1
20260805_130625,43.137714,-70.930871,5,2,1
20260805_130626,43.137714,-70.930871,6,5,2
20260805_130626,43.137714,-70.930871,7,6,3
20260805_130627,43.137714,-70.93087,8,3,1
20260805_130627,43.137714,-70.93087,9,3,1
20260805_130628,43.137714,-70.93087,10,2,1
20260805_130628,43.137714,-70.93087,11,2,1
20260805_130629,43.137714,-70.93087,12,2,1
20260805_130629,43.137714,-70.93087,13,2,1
20260805_130630,43.137714,-70.93087,14,2,1
20260805_130630,43.137714,-70.93087,15,2,1
20260805_130631,43.137714,-70.93087,16,2,1
20260805_130631,43.137714,-70.93087,17,2,1
20260805_130632,43.137714,-70.93087,18,2,1
20260805_130632,43.137714,-70.93087,19,3,1
20260805_130633,43.137714,-70.93087,20,2,1
20260805_130633,43.137714,-70.93087,0,3,1
20260805_130634,43.137714,-70.93087,1,2,1
20260805_130634,43.137714,-70.93087,2,2,1
20260805_130635,43.137714,-70.93087,3,3,1
20260805_130635,43.137714,-70.93087,4,3,1
20260805_130636,43.137714,-70.93087,5,2,1
20260805_130636,43.137714,-70.93087,6,5,1
20260805_130637,43.137714,-70.93087,7,6,2
20260805_130637,43.137714,-70.93087,8,3,1
20260805_130638,43.137714,-70.93087,9,3,1
20260805_130638,43.137714,-70.93087,10,2,1
20260805_130639,43.137714,-70.93087,11,2,1
20260805_130640,43.137714,-70.93087,12,2,1
20260805_130640,43.137714,-70.93087,13,2,1
20260805_130641,43.137714,-70.93087,14,2,1
20260805_130641,43.137714,-70.93087,15,2,1
20260805_130642,43.137714,-70.93087,16,1,0
20260805_130642,43.137714,-70.93087,17,2,0
20260805_130643,43.137714,-70.93087,18,2,1
20260805_130643,43.137714,-70.93087,19,3,1
20260805_130644,43.137714,-70.93087,20,2,0
20260805_130644,43.137714,-70.93087,0,2,0
20260805_130645,43.137714,-70.93087,1,2,1
20260805_130645,43.137714,-70.93087,2,2,1
20260805_130646,43.137714,-70.93087,3,3,1
20260805_130646,43.137714,-70.930871,4,2,1
20260805_130647,43.137714,-70.930871,5,2,1
20260805_130647,43.137714,-70.930871,6,5,1
20260805_130648,43.137714,-70.930871,7,6,2
20260805_130648,43.137714,-70.930871,8,3,1
20260805_130649,43.137714,-70.930871,9,3,1
20260805_130649,43.137714,-70.930871,10,2,1
20260805_130650,43.137714,-70.930871,11,2,1
20260805_130650,43.137714,-70.930871,12,2,1
20260805_130651,43.137714,-70.930871,13,2,1
20260805_130651,43.137715,-70.930871,14,2,1
20260805_130652,43.137715,-70.930871,15,2,1
20260805_130652,43.137715,-70.930871,16,2,1
20260805_130653,43.137715,-70.930871,17,2,1
20260805_130653,43.137715,-70.930871,18,2,1
20260805_130654,43.137715,-70.930871,19,3,1
20260805_130654,43.137715,-70.930871,20,2,1
20260805_130655,43.137715,-70.930871,0,3,1
20260805_130655,43.137715,-70.930871,1,2,1
20260805_130656,43.137715,-70.930871,2,2,1
20260805_130656,43.137715,-70.930871,3,4,1
20260805_130657,43.137715,-70.930871,4,3,1
20260805_130657,43.137715,-70.930871,5,3,1
20260805_130658,43.137715,-70.930871,6,4,1
20260805_130658,43.137715,-70.930871,7,5,2
20260805_130659,43.137715,-70.930871,8,3,1
20260805_130659,43.137715,-70.930871,9,3,1
20260805_130700,43.137715,-70.930871,10,2,1
20260805_130700,43.137715,-70.930871,11,2,1
20260805_130701,43.137715,-70.930871,12,2,1
20260805_130701,43.137715,-70.930871,13,3,1
20260805_130702,43.137715,-70.930871,14,2,1
20260805_130702,43.137715,-70.930871,15,3,1
20260805_130703,43.137715,-70.930871,16,2,1
20260805_130703,43.137715,-70.930871,17,1,0
20260805_130704,43.137715,-70.930871,18,2,1
20260805_130704,43.137715,-70.930871,19,3,1
20260805_130705,43.137715,-70.930871,20,2,1
20260805_130705,43.137715,-70.930871,0,2,1
20260805_130706,43.137715,-70.930871,1,2,1
20260805_130706,43.137715,-70.930871,2,2,1
20260805_130707,43.137715,-70.930871,3,3,1
20260805_130707,43.137715,-70.930871,4,3,1
20260805_130708,43.137715,-70.930871,5,2,1
20260805_130708,43.137715,-70.930871,6,5,2
20260805_130709,43.137715,-70.930871,7,6,3
20260805_130709,43.137715,-70.930871,8,3,1
20260805_130710,43.137715,-70.930871,9,3,1
20260805_130710,43.137715,-70.930871,10,2,1
20260805_130711,43.137715,-70.930871,11,2,1
20260805_130711,43.137715,-70.930871,12,2,1
20260805_130712,43.137715,-70.93087,13,2,1
20260805_130712,43.137715,-70.93087,14,2,1
20260805_130713,43.137715,-70.93087,15,3,1
20260805_130713,43.137715,-70.93087,16,2,1
20260805_130714,43.137715,-70.93087,17,2,1
20260805_130714,43.137715,-70.93087,18,2,1
20260805_130715,43.137715,-70.93087,19,3,1
20260805_130715,43.137715,-70.93087,20,2,1
20260805_130716,43.137715,-70.93087,0,3,1
20260805_130716,43.137715,-70.93087,1,2,1
20260805_130717,43.137715,-70.93087,2,3,1
20260805_130717,43.137715,-70.93087,3,3,1
20260805_130718,43.137715,-70.93087,4,2,1
20260805_130718,43.137715,-70.93087,5,3,1
20260805_130719,43.137716,-70.93087,6,4,1
20260805_130719,43.137716,-70.93087,7,5,2
20260805_130720,43.137716,-70.93087,8,3,1
20260805_130720,43.137716,-70.93087,9,3,1
20260805_130721,43.137716,-70.93087,10,2,0
20260805_130721,43.137716,-70.93087,11,2,1
20260805_130722,43.137716,-70.93087,12,2,1
20260805_130723,43.137716,-70.93087,13,2,1
20260805_130723,43.137716,-70.93087,14,2,1
20260805_130724,43.137716,-70.93087,15,2,1
20260805_130724,43.137716,-70.930869,16,2,1
20260805_130725,43.137716,-70.930869,17,2,1
20260805_130725,43.137716,-70.930869,18,2,1
20260805_130726,43.137716,-70.930869,19,3,1
20260805_130726,43.137716,-70.930869,20,1,0
20260805_130727,43.137716,-70.930869,0,2,1
20260805_130727,43.137716,-70.930869,1,2,1
20260805_130728,43.137716,-70.930869,2,1,0
20260805_130728,43.137716,-70.930869,3,3,1
20260805_130729,43.137716,-70.930869,4,2,1
20260805_130729,43.137716,-70.930869,5,2,1
20260805_130730,43.137716,-70.930869,6,5,1
20260805_130730,43.137715,-70.930869,7,6,2
20260805_130731,43.137715,-70.930869,8,3,1
20260805_130731,43.137715,-70.930869,9,3,1
20260805_130732,43.137715,-70.930869,10,2,1
20260805_130732,43.137715,-70.93087,11,2,1
20260805_130733,43.137715,-70.93087,12,3,1
20260805_130733,43.137716,-70.93087,13,2,1
20260805_130734,43.137716,-70.93087,14,2,1
20260805_130734,43.137716,-70.93087,15,3,1
20260805_130735,43.137716,-70.93087,16,2,1
20260805_130735,43.137716,-70.93087,17,2,1
20260805_130736,43.137716,-70.93087,18,2,1
20260805_130736,43.137716,-70.93087,19,3,1
20260805_130737,43.137716,-70.93087,20,2,1
20260805_130737,43.137716,-70.93087,0,2,1
20260805_130738,43.137716,-70.93087,1,2,1
20260805_130738,43.137716,-70.93087,2,3,1
20260805_130739,43.137716,-70.93087,3,3,1
20260805_130739,43.137716,-70.93087,4,3,1
20260805_130740,43.137716,-70.93087,5,3,1
20260805_130740,43.137716,-70.93087,6,5,2
20260805_130741,43.137716,-70.93087,7,6,2
20260805_130741,43.137716,-70.930871,8,2,1
20260805_130742,43.137716,-70.930871,9,3,1
20260805_130742,43.137717,-70.930871,10,2,1
20260805_130743,43.137717,-70.930871,11,2,1
20260805_130743,43.137717,-70.930871,12,2,1
20260805_130744,43.137717,-70.930871,13,2,1
20260805_130744,43.137717,-70.930871,14,2,1
20260805_130745,43.137717,-70.930871,15,2,1
20260805_130745,43.137717,-70.930871,16,2,1
20260805_130746,43.137717,-70.930871,17,2,1
20260805_130746,43.137717,-70.930871,18,2,1
20260805_130747,43.137717,-70.930871,19,3,1
20260805_130747,43.137717,-70.930871,20,2,1
20260805_130748,43.137717,-70.930871,0,3,1
20260805_130748,43.137717,-70.930871,1,2,1
20260805_130749,43.137717,-70.930871,2,2,1
20260805_130749,43.137717,-70.930871,3,3,1
20260805_130750,43.137717,-70.930871,4,3,1
20260805_130750,43.137717,-70.930871,5,3,1
20260805_130751,43.137717,-70.930871,6,5,2
20260805_130751,43.137717,-70.930871,7,6,3
20260805_130752,43.137717,-70.930871,8,3,1
20260805_130752,43.137717,-70.930871,9,3,1
20260805_130753,43.137717,-70.930871,10,2,1
20260805_130753,43.137717,-70.930871,11,2,1
20260805_130754,43.137717,-70.930871,12,2,1
20260805_130754,43.137717,-70.930871,13,2,1
20260805_130755,43.137717,-70.930871,14,2,1
20260805_130755,43.137717,-70.930871,15,2,1
20260805_130756,43.137717,-70.930871,16,2,1
20260805_130756,43.137717,-70.930871,17,2,1
20260805_130757,43.137717,-70.930871,18,2,1
20260805_130757,43.137717,-70.930871,19,3,1
20260805_130758,43.137716,-70.930871,20,1,0
20260805_130758,43.137716,-70.930871,0,3,1
20260805_130759,43.137716,-70.930871,1,2,1
20260805_130759,43.137716,-70.930871,2,2,1
20260805_130800,43.137716,-70.930871,3,3,1
20260805_130800,43.137716,-70.930871,4,2,0
20260805_130801,43.137716,-70.930871,5,2,1
20260805_130801,43.137716,-70.930871,6,5,1
