time,lat,lon,freq_index,peak_val,noise_mean
20260805_132429,43.137411,-70.934634,0,4,1
20260805_132429,43.13741,-70.934634,1,3,1
20260805_132430,43.13741,-70.934634,2,3,2
20260805_132430,43.13741,-70.934634,3,6,2
20260805_132431,43.13741,-70.934634,4,4,1
20260805_132431,43.13741,-70.934634,5,4,2
20260805_132432,43.13741,-70.934634,6,10,3
20260805_132432,43.13741,-70.934634,7,12,5
20260805_132433,43.13741,-70.934634,8,5,2
20260805_132433,43.13741,-70.934634,9,5,2
20260805_132434,43.13741,-70.934634,10,3,1
20260805_132434,43.13741,-70.934634,11,3,1
20260805_132435,43.13741,-70.934634,12,3,2
20260805_132435,43.13741,-70.934634,13,3,1
20260805_132436,43.13741,-70.934634,14,3,1
20260805_132436,43.137409,-70.934634,15,4,1
20260805_132437,43.137409,-70.934634,16,4,2
20260805_132437,43.137409,-70.934634,17,2,1
20260805_132438,43.137409,-70.934634,18,3,1
20260805_132438,43.137409,-70.934634,19,4,1
20260805_132439,43.137409,-70.934634,20,3,1
20260805_132439,43.137409,-70.934634,0,4,2
20260805_132440,43.137409,-70.934634,1,3,1
20260805_132440,43.137409,-70.934634,2,3,2
20260805_132441,43.137409,-70.934634,3,5,2
20260805_132441,43.137409,-70.934634,4,4,1
20260805_132442,43.137409,-70.934634,5,5,2
20260805_132442,43.137409,-70.934634,6,9,3
20260805_132443,43.137409,-70.934634,7,11,5
20260805_132443,43.137409,-70.934634,8,5,3
20260805_132444,43.137409,-70.934634,9,5,2
20260805_132444,43.137409,-70.934634,10,3,2
20260805_132445,43.137409,-70.934634,11,4,2
20260805_132445,43.137409,-70.934635,12,3,2
20260805_132446,43.137409,-70.934635,13,3,2
20260805_132446,43.137409,-70.934635,14,3,2
20260805_132447,43.137409,-70.934635,15,5,2
20260805_132447,43.137409,-70.934635,16,3,1
20260805_132448,43.137409,-70.934635,17,2,1
20260805_132448,43.137409,-70.934634,18,3,2
20260805_132449,43.137409,-70.934634,19,5,2
20260805_132449,43.137409,-70.934635,20,3,1
20260805_132450,43.13741,-70.934635,0,4,1
20260805_132450,43.13741,-70.934635,1,2,1
20260805_132451,43.13741,-70.934635,2,3,1
20260805_132451,43.13741,-70.934635,3,6,2
20260805_132452,43.13741,-70.934635,4,4,1
20260805_132452,43.13741,-70.934635,5,3,1
20260805_132453,43.13741,-70.934635,6,9,2
20260805_132453,43.13741,-70.934635,7,11,5
20260805_132454,43.13741,-70.934636,8,4,2
20260805_132454,43.13741,-70.934636,9,5,2
20260805_132455,43.13741,-70.934636,10,3,1
20260805_132455,43.13741,-70.934636,11,3,1
20260805_132456,43.13741,-70.934636,12,3,2
20260805_132456,43.13741,-70.934636,13,3,2
20260805_132457,43.137411,-70.934636,14,3,2
20260805_132457,43.137411,-70.934636,15,4,1
20260805_132458,43.137411,-70.934636,16,3,1
20260805_132458,43.137411,-70.934636,17,2,1
20260805_132459,43.137411,-70.934636,18,4,2
20260805_132459,43.137411,-70.934636,19,5,2
20260805_132500,43.137411,-70.934637,20,3,1
20260805_132500,43.137411,-70.934637,0,4,1
20260805_132501,43.137412,-70.934637,1,3,2
20260805_132501,43.137412,-70.934637,2,3,1
20260805_132502,43.137412,-70.934637,3,5,2
20260805_132502,43.137412,-70.934637,4,4,1
20260805_132503,43.137412,-70.934637,5,4,2
20260805_132503,43.137412,-70.934637,6,9,3
20260805_132504,43.137413,-70.934638,7,11,5
20260805_132504,43.137413,-70.934638,8,4,2
20260805_132505,43.137413,-70.934638,9,5,2
20260805_132505,43.137413,-70.934638,10,2,1
20260805_132506,43.137414,-70.934638,11,2,1
20260805_132507,43.137414,-70.934638,12,3,2
20260805_132507,43.137414,-70.934638,13,3,2
20260805_132508,43.137414,-70.934638,14,3,1
20260805_132508,43.137414,-70.934638,15,3,1
20260805_132509,43.137414,-70.934638,16,3,1
20260805_132509,43.137414,-70.934639,17,2,1
20260805_132510,43.137414,-70.934639,18,3,1
20260805_132510,43.137414,-70.934639,19,3,1
20260805_132511,43.137414,-70.934639,20,2,1
20260805_132511,43.137415,-70.934639,0,4,2
20260805_132512,43.137415,-70.934639,1,3,2
20260805_132512,43.137415,-70.934639,2,3,1
20260805_132513,43.137415,-70.934639,3,6,2
20260805_132513,43.137415,-70.934639,4,4,1
20260805_132514,43.137415,-70.934639,5,4,1
20260805_132514,43.137415,-70.934639,6,8,2
20260805_132515,43.137415,-70.934639,7,11,5
