time,lat,lon,freq_index,peak_val,noise_mean
20260805_093432,,,0,2,0
20260805_093432,,,1,1,0
20260805_093433,,,2,2,1
20260805_093433,,,3,3,1
20260805_093434,,,4,3,1
20260805_093434,,,5,2,1
20260805_093435,,,6,4,1
20260805_093435,,,7,6,2
20260805_093436,,,8,3,1
20260805_093436,,,9,3,1
20260805_093437,,,10,2,1
20260805_093437,,,11,2,1
20260805_093438,,,12,2,1
20260805_093438,,,13,2,1
20260805_093439,,,14,2,1
20260805_093439,,,15,3,1
20260805_093440,,,16,2,1
20260805_093440,,,17,2,1
20260805_093441,,,18,2,0
20260805_093441,,,19,2,1
20260805_093442,,,20,2,1
20260805_093442,,,0,2,1
20260805_093443,,,1,1,0
20260805_093443,,,2,1,0
20260805_093444,,,3,3,1
20260805_093444,,,4,2,1
20260805_093445,,,5,2,1
20260805_093445,,,6,4,1
20260805_093446,,,7,5,2
20260805_093446,,,8,2,1
20260805_093447,,,9,2,1
20260805_093447,,,10,1,0
20260805_093448,,,11,2,0
20260805_093448,,,12,2,1
20260805_093449,,,13,2,1
20260805_093449,,,14,1,0
20260805_093450,,,15,3,1
20260805_093450,,,16,2,1
20260805_093451,,,17,2,1
20260805_093451,,,18,3,1
20260805_093452,,,19,3,1
20260805_093452,,,20,2,1
20260805_093453,,,0,2,1
20260805_093453,,,1,1,0
20260805_093454,,,2,2,1
20260805_093454,,,3,3,1
20260805_093455,,,4,2,1
20260805_093455,,,5,2,1
20260805_093456,,,6,4,1
20260805_093456,,,7,6,2
20260805_093457,,,8,2,1
20260805_093457,,,9,2,1
20260805_093458,,,10,2,1
20260805_093458,,,11,1,0
20260805_093459,,,12,2,0
20260805_093459,,,13,2,1
20260805_093500,,,14,1,0
20260805_093501,,,15,2,0
20260805_093501,,,16,1,0
20260805_093502,,,17,2,1
20260805_093502,,,18,2,1
20260805_093503,,,19,3,1
20260805_093503,,,20,2,1
20260805_093504,,,0,2,1
20260805_093504,,,1,2,1
20260805_093505,,,2,2,1
20260805_093505,,,3,3,1
20260805_093506,,,4,2,0
20260805_093506,,,5,2,1
20260805_093507,,,6,4,1
20260805_093507,,,7,5,2
20260805_093508,,,8,2,1
20260805_093508,,,9,3,1
20260805_093509,,,10,2,1
20260805_093509,,,11,2,1
20260805_093510,,,12,2,1
20260805_093510,,,13,2,1
20260805_093511,,,14,1,0
20260805_093511,,,15,3,1
20260805_093512,,,16,1,0
20260805_093512,,,17,1,0
20260805_093513,,,18,2,0
20260805_093513,,,19,2,0
20260805_093514,,,20,1,0
20260805_093514,,,0,2,1
20260805_093515,,,1,1,0
20260805_093515,,,2,1,0
20260805_093516,,,3,3,1
20260805_093516,,,4,2,0
20260805_093517,,,5,2,1
20260805_093517,,,6,4,1
20260805_093518,,,7,6,2
20260805_093518,,,8,2,1
20260805_093519,,,9,3,1
20260805_093519,,,10,2,1
20260805_093520,,,11,1,0
20260805_093520,,,12,1,0
20260805_093521,,,13,1,0
20260805_093521,,,14,1,0
20260805_093522,,,15,2,0
20260805_093522,,,16,1,0
20260805_093523,,,17,2,1
20260805_093523,,,18,1,0
20260805_093524,,,19,2,0
20260805_093524,,,20,1,0
20260805_093525,,,0,2,1
20260805_093525,,,1,1,0
20260805_093526,,,2,2,0
20260805_093526,,,3,3,1
20260805_093527,,,4,2,0
20260805_093527,,,5,2,1
20260805_093528,,,6,5,1
20260805_093528,,,7,6,2
20260805_093529,,,8,2,1
20260805_093529,,,9,3,1
20260805_093530,,,10,2,1
20260805_093530,,,11,2,1
20260805_093531,,,12,2,1
20260805_093531,,,13,2,0
20260805_093532,,,14,1,0
20260805_093532,,,15,3,1
20260805_093533,,,16,2,1
20260805_093533,,,17,2,1
20260805_093534,,,18,2,1
20260805_093534,,,19,3,1
20260805_093535,,,20,1,0
20260805_093535,,,0,2,1
20260805_093536,,,1,2,1
20260805_093536,,,2,2,1
20260805_093537,,,3,4,1
20260805_093537,,,4,2,1
20260805_093538,,,5,2,1
20260805_093539,,,6,5,1
20260805_093539,,,7,6,2
20260805_093540,,,8,2,1
20260805_093540,,,9,3,1
20260805_093541,,,10,1,0
20260805_093541,,,11,1,0
20260805_093542,,,12,1,0
20260805_093542,,,13,2,1
20260805_093543,,,14,1,0
20260805_093543,,,15,2,1
20260805_093544,,,16,2,1
20260805_093544,,,17,2,1
20260805_093545,,,18,3,1
20260805_093545,,,19,3,1
20260805_093546,,,20,2,1
20260805_093546,,,0,2,0
20260805_093547,,,1,1,1
20260805_093547,,,2,2,1
20260805_093548,,,3,3,1
20260805_093548,,,4,2,1
20260805_093549,,,5,2,1
20260805_093549,,,6,5,1
20260805_093550,,,7,6,2
20260805_093550,,,8,2,1
20260805_093551,,,9,2,1
20260805_093551,,,10,1,1
20260805_093552,,,11,2,1
20260805_093552,,,12,2,1
20260805_093553,,,13,2,1
20260805_093553,,,14,2,1
20260805_093554,,,15,2,0
20260805_093554,,,16,2,1
20260805_093555,,,17,2,0
20260805_093555,,,18,2,1
20260805_093556,,,19,2,1
20260805_093556,,,20,1,0
20260805_093557,,,0,2,1
20260805_093557,,,1,1,0
20260805_093558,,,2,2,1
20260805_093558,,,3,3,1
20260805_093559,,,4,2,1
20260805_093559,,,5,2,0
20260805_093600,,,6,5,1
20260805_093600,,,7,5,2
