time,lat,lon,freq_index,peak_val,noise_mean
20260805_131119,43.137722,-70.930867,0,3,1
20260805_131119,43.137722,-70.930867,1,2,1
20260805_131120,43.137722,-70.930867,2,2,1
20260805_131120,43.137722,-70.930867,3,3,1
20260805_131121,43.137722,-70.930867,4,3,1
20260805_131121,43.137722,-70.930867,5,3,1
20260805_131122,43.137722,-70.930867,6,5,2
20260805_131122,43.137722,-70.930867,7,6,3
20260805_131123,43.137722,-70.930867,8,3,1
20260805_131123,43.137722,-70.930867,9,3,1
20260805_131124,43.137722,-70.930867,10,2,1
20260805_131124,43.137722,-70.930867,11,2,1
20260805_131125,43.137722,-70.930867,12,2,1
20260805_131125,43.137722,-70.930867,13,2,1
20260805_131126,43.137722,-70.930867,14,2,1
20260805_131126,43.137722,-70.930867,15,3,1
20260805_131127,43.137722,-70.930867,16,2,0
20260805_131127,43.137722,-70.930867,17,1,0
20260805_131128,43.137722,-70.930867,18,2,1
20260805_131128,43.137722,-70.930867,19,3,1
20260805_131129,43.137722,-70.930867,20,2,0
20260805_131129,43.137722,-70.930867,0,2,1
20260805_131130,43.137722,-70.930867,1,2,1
20260805_131131,43.137722,-70.930867,2,2,1
20260805_131131,43.137722,-70.930867,3,3,1
20260805_131132,43.137722,-70.930867,4,2,1
20260805_131132,43.137722,-70.930867,5,2,1
20260805_131133,43.137722,-70.930867,6,5,1
20260805_131133,43.137721,-70.930868,7,6,3
20260805_131134,43.137721,-70.930868,8,3,1
20260805_131134,43.137721,-70.930868,9,2,1
20260805_131135,43.137721,-70.930868,10,2,1
20260805_131135,43.137722,-70.930868,11,2,1
20260805_131136,43.137722,-70.930868,12,2,1
20260805_131136,43.137722,-70.930868,13,2,1
20260805_131137,43.137722,-70.930868,14,2,1
20260805_131137,43.137722,-70.930868,15,3,1
20260805_131138,43.137722,-70.930868,16,2,1
20260805_131138,43.137722,-70.930868,17,2,1
20260805_131139,43.137722,-70.930868,18,2,1
20260805_131139,43.137722,-70.930868,19,3,1
20260805_131140,43.137722,-70.930868,20,2,1
20260805_131140,43.137722,-70.930868,0,3,1
20260805_131141,43.137722,-70.930868,1,1,0
20260805_131141,43.137722,-70.930868,2,2,1
20260805_131142,43.137722,-70.930868,3,4,1
20260805_131142,43.137721,-70.930869,4,2,1
20260805_131143,43.137721,-70.930869,5,3,1
20260805_131143,43.13772,-70.93087,6,5,1
20260805_131144,43.13772,-70.93087,7,6,3
20260805_131144,43.137718,-70.930873,8,3,1
20260805_131145,43.137718,-70.930873,9,3,1
20260805_131145,43.137715,-70.930877,10,2,1
20260805_131146,43.137715,-70.930877,11,2,1
20260805_131146,43.13771,-70.930881,12,3,1
20260805_131147,43.13771,-70.930881,13,2,1
20260805_131147,43.137706,-70.930884,14,2,1
20260805_131148,43.137706,-70.930884,15,3,1
20260805_131148,43.137702,-70.930887,16,2,1
20260805_131149,43.137702,-70.930887,17,2,1
20260805_131149,43.137694,-70.93089,18,3,1
20260805_131150,43.137694,-70.93089,19,3,1
20260805_131150,43.137688,-70.930891,20,2,1
20260805_131151,43.137688,-70.930891,0,3,1
20260805_131151,43.137684,-70.930891,1,2,1
20260805_131152,43.137684,-70.930891,2,2,1
20260805_131152,43.137683,-70.930892,3,3,1
20260805_131153,43.137683,-70.930892,4,3,1
20260805_131153,43.137684,-70.930894,5,3,1
20260805_131154,43.137684,-70.930894,6,5,1
20260805_131154,43.137685,-70.930897,7,7,3
20260805_131155,43.137685,-70.930897,8,3,2
20260805_131155,43.137689,-70.930904,9,3,1
20260805_131156,43.137689,-70.930904,10,2,1
20260805_131156,43.137692,-70.930912,11,2,1
20260805_131157,43.137692,-70.930912,12,2,1
20260805_131157,,,13,2,1
20260805_131158,,,14,2,1
20260805_131158,,,15,3,1
20260805_131159,,,16,2,1
20260805_131159,,,17,2,1
20260805_131200,,,18,3,1
20260805_131200,,,19,3,1
20260805_131201,,,20,2,1
20260805_131201,,,0,3,1
20260805_131202,,,1,2,1
20260805_131202,,,2,2,1
20260805_131203,,,3,3,1
20260805_131203,,,4,2,1
20260805_131204,,,5,2,1
20260805_131204,,,6,5,1
20260805_131205,,,7,6,2
20260805_131205,,,8,2,1
20260805_131206,43.137683,-70.930946,9,3,1
20260805_131206,43.137683,-70.930946,10,2,1
20260805_131207,43.137861,-70.931324,11,2,1
20260805_131207,43.137861,-70.931324,12,2,1
20260805_131208,43.137876,-70.931345,13,3,1
20260805_131208,43.137876,-70.931345,14,2,1
20260805_131209,43.137899,-70.93135,15,2,1
20260805_131209,43.137899,-70.93135,16,1,0
20260805_131210,43.137924,-70.931348,17,2,1
20260805_131210,43.137924,-70.931348,18,2,1
20260805_131211,43.13795,-70.931347,19,3,1
20260805_131211,43.13795,-70.931347,20,2,0
20260805_131212,43.137975,-70.931342,0,2,1
20260805_131212,43.137975,-70.931342,1,2,1
20260805_131213,43.137994,-70.931319,2,2,1
20260805_131213,43.137994,-70.931319,3,3,1
20260805_131214,43.138011,-70.931293,4,3,1
20260805_131215,43.138011,-70.931293,5,2,1
20260805_131215,43.13803,-70.931272,6,5,1
20260805_131216,43.13803,-70.931272,7,6,2
20260805_131216,43.138053,-70.931258,8,3,1
20260805_131217,43.138053,-70.931258,9,3,1
20260805_131217,43.13807,-70.931241,10,1,0
20260805_131218,43.13807,-70.931241,11,2,1
20260805_131218,43.138096,-70.931221,12,2,1
20260805_131219,43.138096,-70.931221,13,2,1
20260805_131219,,,14,2,1
20260805_131220,,,15,2,0
20260805_131220,43.138134,-70.931195,16,1,0
20260805_131221,43.138134,-70.931195,17,2,1
20260805_131221,,,18,2,1
20260805_131222,,,19,3,1
20260805_131222,,,20,2,1
20260805_131223,,,0,2,1
20260805_131223,,,1,2,1
20260805_131224,,,2,2,1
20260805_131224,43.137885,-70.930661,3,3,1
20260805_131225,43.137885,-70.930661,4,2,1
20260805_131225,,,5,3,1
20260805_131226,,,6,5,1
20260805_131226,,,7,7,3
20260805_131227,,,8,3,1
20260805_131227,,,9,2,1
20260805_131228,,,10,2,1
20260805_131228,,,11,2,1
20260805_131229,,,12,2,1
20260805_131229,,,13,2,1
20260805_131230,,,14,1,0
20260805_131230,,,15,3,1
20260805_131231,,,16,2,0
20260805_131231,,,17,1,0
20260805_131232,,,18,2,1
20260805_131232,,,19,3,0
20260805_131233,,,20,2,0
20260805_131233,,,0,2,0
20260805_131234,,,1,1,0
20260805_131234,,,2,2,1
20260805_131235,,,3,3,1
20260805_131235,,,4,2,1
20260805_131236,,,5,2,1
20260805_131236,43.137522,-70.929889,6,4,1
20260805_131237,43.137522,-70.929889,7,6,2
20260805_131237,43.137471,-70.929831,8,2,1
20260805_131238,43.137471,-70.929831,9,2,1
20260805_131238,43.137422,-70.929774,10,2,1
20260805_131239,43.137422,-70.929774,11,1,0
20260805_131239,43.137368,-70.929729,12,2,1
20260805_131240,43.137368,-70.929729,13,2,1
20260805_131240,43.137313,-70.929685,14,1,0
20260805_131241,43.137256,-70.929643,15,2,1
20260805_131241,43.137256,-70.929643,16,1,0
20260805_131242,43.137196,-70.92961,17,2,1
20260805_131242,43.137196,-70.92961,18,2,1
20260805_131243,43.137141,-70.929573,19,3,1
20260805_131243,43.137141,-70.929573,20,1,0
20260805_131244,43.137089,-70.929543,0,2,0
20260805_131244,43.137089,-70.929543,1,2,1
20260805_131245,43.137043,-70.929514,2,1,0
20260805_131245,43.137043,-70.929514,3,3,1
20260805_131246,43.136998,-70.929485,4,2,0
20260805_131246,43.136998,-70.929485,5,2,1
20260805_131247,,,6,5,1
20260805_131247,,,7,6,2
20260805_131248,,,8,3,1
20260805_131248,,,9,2,1
20260805_131249,,,10,2,0
20260805_131249,,,11,1,0
20260805_131250,,,12,1,0
20260805_131250,,,13,2,0
20260805_131251,43.136749,-70.929312,14,1,0
20260805_131251,43.136749,-70.929312,15,2,0
20260805_131252,,,16,2,0
20260805_131252,,,17,2,0
20260805_131253,,,18,2,1
20260805_131253,,,19,2,0
20260805_131254,,,20,1,0
20260805_131254,,,0,2,0
20260805_131255,,,1,1,0
20260805_131255,,,2,1,0
20260805_131256,43.136821,-70.929682,3,3,1
20260805_131256,43.136821,-70.929682,4,2,1
20260805_131257,43.136802,-70.929746,5,2,1
20260805_131257,43.136802,-70.929746,6,5,1
20260805_131258,43.136779,-70.929813,7,6,2
20260805_131258,43.136779,-70.929813,8,2,1
20260805_131259,43.136761,-70.929886,9,3,1
20260805_131300,43.136761,-70.929886,10,1,0
20260805_131300,43.136742,-70.929963,11,1,0
20260805_131301,43.136742,-70.929963,12,2,1
20260805_131301,43.136722,-70.930043,13,2,1
20260805_131302,43.136722,-70.930043,14,2,1
20260805_131302,43.136701,-70.930124,15,2,1
20260805_131303,43.136701,-70.930124,16,2,0
20260805_131303,43.136679,-70.930207,17,1,0
20260805_131304,43.136679,-70.930207,18,2,1
20260805_131304,43.136657,-70.930292,19,2,0
20260805_131305,43.136657,-70.930292,20,2,1
20260805_131305,43.136638,-70.930377,0,3,1
20260805_131306,43.136638,-70.930377,1,2,1
20260805_131306,43.13662,-70.930465,2,2,1
20260805_131307,43.13662,-70.930465,3,3,1
20260805_131307,43.136603,-70.930553,4,3,1
20260805_131308,43.136603,-70.930553,5,2,1
20260805_131308,43.136584,-70.930641,6,5,1
20260805_131309,43.136584,-70.930641,7,6,2
20260805_131309,43.136565,-70.930726,8,3,1
20260805_131310,43.136565,-70.930726,9,3,1
20260805_131310,43.136547,-70.930805,10,2,1
20260805_131311,43.136547,-70.930805,11,2,0
20260805_131311,43.136529,-70.93088,12,2,1
20260805_131312,43.136529,-70.93088,13,2,1
20260805_131312,,,14,2,1
20260805_131313,,,15,2,0
20260805_131313,,,16,2,1
20260805_131314,,,17,2,1
20260805_131314,,,18,2,1
20260805_131315,,,19,3,1
20260805_131315,,,20,1,0
20260805_131316,,,0,2,0
20260805_131316,,,1,1,0
20260805_131317,,,2,1,0
20260805_131317,,,3,3,1
20260805_131318,,,4,2,0
20260805_131318,43.136512,-70.93096,5,2,0
20260805_131319,43.136512,-70.93096,6,5,1
20260805_131319,43.136513,-70.930962,7,5,2
20260805_131320,43.136513,-70.930962,8,2,1
20260805_131320,43.136512,-70.930964,9,2,1
20260805_131321,43.136512,-70.930964,10,1,0
20260805_131321,43.136513,-70.930965,11,1,0
20260805_131322,43.136513,-70.930965,12,2,0
20260805_131322,43.136513,-70.930966,13,2,1
20260805_131323,43.136513,-70.930966,14,2,1
20260805_131323,43.136513,-70.930967,15,2,1
20260805_131324,43.136513,-70.930967,16,2,1
20260805_131324,43.136513,-70.930967,17,2,1
20260805_131325,43.136513,-70.930967,18,2,1
20260805_131325,43.136513,-70.930967,19,3,1
20260805_131326,43.136512,-70.930967,20,2,0
20260805_131326,43.136512,-70.930967,0,2,1
20260805_131327,43.136512,-70.930967,1,2,0
20260805_131327,43.136512,-70.930967,2,1,1
20260805_131328,43.136512,-70.930967,3,3,1
20260805_131328,43.136512,-70.930967,4,2,0
20260805_131329,43.136512,-70.930967,5,2,1
20260805_131329,43.136512,-70.930967,6,4,1
20260805_131330,43.136512,-70.930967,7,5,2
20260805_131330,43.136512,-70.930967,8,2,1
20260805_131331,43.136512,-70.930967,9,2,0
20260805_131331,43.136512,-70.930967,10,1,0
20260805_131332,43.136512,-70.930968,11,1,0
20260805_131332,43.136512,-70.930968,12,2,0
20260805_131333,43.136511,-70.93097,13,2,0
20260805_131333,43.136511,-70.93097,14,1,0
20260805_131334,43.136509,-70.930978,15,2,1
20260805_131334,43.136509,-70.930978,16,1,0
20260805_131335,,,17,1,0
20260805_131335,,,18,2,1
20260805_131336,,,19,2,1
20260805_131336,,,20,1,0
20260805_131337,,,0,2,0
20260805_131337,,,1,1,0
20260805_131338,,,2,2,1
20260805_131338,,,3,3,1
20260805_131339,,,4,2,0
20260805_131339,,,5,2,0
20260805_131340,,,6,4,1
20260805_131341,,,7,5,2
20260805_131341,,,8,3,1
20260805_131342,,,9,3,1
20260805_131342,,,10,1,0
20260805_131343,,,11,1,0
20260805_131343,,,12,2,1
20260805_131344,,,13,2,1
20260805_131344,43.136734,-70.931675,14,2,1
