time,lat,lon,freq_index,peak_val,noise_mean
20260805_134843,43.13434,-70.936793,0,2,0
20260805_134843,43.13434,-70.936793,1,1,0
20260805_134844,43.13434,-70.936793,2,2,0
20260805_134844,43.13434,-70.936793,3,4,1
20260805_134845,43.13434,-70.936792,4,2,0
20260805_134845,43.13434,-70.936792,5,3,1
20260805_134846,43.13434,-70.936792,6,8,2
20260805_134846,43.13434,-70.936792,7,10,4
20260805_134847,43.13434,-70.936792,8,8,3
20260805_134848,43.13434,-70.936792,9,7,3
20260805_134848,43.13434,-70.936793,10,4,2
20260805_134849,43.13434,-70.936793,11,4,2
20260805_134849,43.13434,-70.936792,12,6,3
20260805_134850,43.13434,-70.936792,13,5,3
20260805_134850,43.13434,-70.936793,14,4,2
20260805_134851,43.13434,-70.936793,15,4,2
20260805_134851,43.134341,-70.936792,16,5,2
20260805_134852,43.134341,-70.936792,17,4,2
20260805_134852,43.134341,-70.936793,18,4,2
20260805_134853,43.134341,-70.936793,19,5,2
20260805_134853,43.134341,-70.936793,20,3,2
20260805_134854,43.134341,-70.936793,0,5,2
20260805_134854,43.134341,-70.936793,1,4,1
20260805_134855,43.134341,-70.936793,2,4,1
20260805_134855,43.134341,-70.936793,3,8,3
20260805_134856,43.134341,-70.936793,4,5,2
20260805_134856,43.134341,-70.936793,5,5,1
20260805_134857,43.134341,-70.936793,6,17,4
20260805_134857,43.134341,-70.936793,7,19,8
20260805_134858,43.134341,-70.936793,8,9,5
20260805_134858,43.134341,-70.936793,9,6,3
20260805_134859,43.134341,-70.936793,10,3,2
20260805_134859,43.134341,-70.936793,11,4,1
20260805_134900,43.134341,-70.936793,12,3,2
20260805_134900,43.134341,-70.936793,13,3,2
20260805_134901,43.134341,-70.936793,14,3,1
20260805_134901,43.134341,-70.936793,15,5,2
20260805_134902,43.134341,-70.936793,16,4,1
20260805_134902,43.134341,-70.936793,17,3,1
20260805_134903,43.134341,-70.936793,18,4,1
20260805_134903,43.134341,-70.936793,19,5,2
20260805_134904,43.134341,-70.936793,20,3,1
20260805_134904,43.134341,-70.936793,0,5,1
20260805_134905,43.134341,-70.936793,1,3,1
20260805_134905,43.134341,-70.936793,2,3,1
20260805_134906,43.134341,-70.936793,3,5,2
20260805_134906,43.134341,-70.936793,4,4,1
20260805_134907,43.134341,-70.936793,5,5,2
20260805_134907,43.134341,-70.936793,6,11,3
20260805_134908,43.134341,-70.936793,7,15,6
20260805_134908,43.134341,-70.936793,8,7,2
20260805_134909,43.134341,-70.936793,9,7,2
20260805_134909,43.134341,-70.936793,10,4,2
20260805_134910,43.134341,-70.936793,11,3,2
20260805_134910,43.134341,-70.936793,12,4,2
20260805_134911,43.134341,-70.936793,13,4,2
20260805_134911,43.134341,-70.936793,14,4,2
20260805_134912,43.134341,-70.936793,15,4,1
20260805_134912,43.134341,-70.936793,16,3,1
20260805_134913,43.134341,-70.936793,17,3,1
20260805_134913,43.134341,-70.936793,18,3,1
20260805_134914,43.134341,-70.936793,19,6,2
20260805_134914,43.134341,-70.936793,20,3,1
20260805_134915,43.134341,-70.936793,0,4,1
20260805_134915,43.134341,-70.936793,1,4,1
20260805_134916,43.134341,-70.936793,2,4,1
20260805_134916,43.134341,-70.936793,3,8,3
20260805_134917,43.134341,-70.936793,4,6,2
